鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
萬華區,房地(土地+建物)+車位,臺北市萬華區長沙街二段６１號十樓,11.95,商,,,1110815,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010119,137.26999999999998,5,2,2,有,有,22800000,175395,塔式車位,15.83,1500000,,RPXOMLQJRHHGFBA58DA,73.33,0.0,0.0,有,017
萬華區,房地(土地+建物),臺北市萬華區中華路一段１４４號二樓之３３,0.38,商,,,1110829,土地3建物1車位0,二層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0680809,6.58,0,0,0,無,有,800000,121581,,0.0,0,,RPOOMLRJRHHGFBA77DA,2.48,0.0,0.0,有,
大同區,房地(土地+建物),臺北市大同區延平北路二段１２７號六樓之８,4.52,商,,,1110825,土地4建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0680419,47.040000000000006,2,1,1,有,有,7000000,148810,,0.0,0,陽台外推；,RPPPMLRJRHHGFBA97DA,30.24,0.0,10.64,有,018
大同區,房地(土地+建物),臺北市大同區延平北路一段５１號八樓之１８,3.59,商,,,1110813,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0700223,30.03,1,1,1,有,有,5500000,183150,,0.0,0,其他增建；,RPQNMLSJRHHGFBA97DA,21.19,0.0,0.0,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區環山路一段４８號八樓之１,65.14,工,,,1110830,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0960621,292.78999999999996,3,2,3,有,有,49000000,167355,坡道平面,0.0,0,,RPRNMLKMQHHGFCA57DA,156.46,0.0,12.01,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區陽光街９２巷２５弄１９號十樓之１,12.06,住,,,1110804,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021101,75.32,1,2,1,有,有,21880000,290494,塔式車位,0.0,0,陽台外推；頂樓加蓋；夾層；其他增建；,RPOQMLPJRHHGFCA87DA,29.1,1.57,3.6,有,019
中山區,房地(土地+建物),臺北市中山區天祥路８號二樓,6.07,商,,,1110808,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791027,107.89,3,2,1,有,無,24000000,222449,,0.0,0,陽台外推；,RPOOMLRJRHHGFCA87DA,88.64,4.17,9.8,有,020
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路２３５巷３２號八樓,20.18,住,,,1110805,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031002,118.10000000000001,2,2,2,有,有,32500000,275191,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLLKQHHGFDA97DA,64.31,1.22,6.37,有,021
信義區,土地,福德段一小段866地號,134.65,都市：其他:道路用地(公共設施用地)。,,,1110830,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12136289,90132,,0.0,0,111年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPSQMLPLQHHGFDA48DA,0.0,0.0,0.0,無,022
南港區,土地,舊莊段四小段486地號,3248.67,都市：其他:保護區。,,,1110823,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,1539,,0.0,0,,RPQNMLQJRHHGFDA97DA,0.0,0.0,0.0,無,023
