"2011-01-01",58902500
"2011-02-01",47785714.2857143
"2011-03-01",31263333.3333333
"2011-04-01",24736000
"2011-05-01",14495000
"2011-06-01",68565000
"2011-07-01",23113333.3333333
"2011-08-01",28007500
"2011-09-01",16729583.3333333
"2011-10-01",4435000
"2011-11-01",28399666.6666667
"2012-01-01",6088035.71428571
"2012-02-01",18476666.6666667
"2012-03-01",16041491.5
"2012-04-01",20133682.5396825
"2012-05-01",19329229.7979798
"2012-06-01",15662516.6666667
"2012-07-01",7441994.07990648
"2012-08-01",22735436.6333698
"2012-09-01",20321577.8530706
"2012-10-01",19524703.1901292
"2012-11-01",20256009.9295931
"2012-12-01",17548559.6216179
"2013-01-01",14961902.5388635
"2013-02-01",26347045.6230907
"2013-03-01",21312250.9995113
"2013-04-01",25310222.0248918
"2013-05-01",17686979.5719581
"2013-06-01",20266694.3585252
"2013-07-01",21684479.883997
"2013-08-01",13621443.9024371
"2013-09-01",11983384.9114263
"2013-10-01",20410255.6651984
"2013-11-01",10904629.2962482
"2013-12-01",16400778.7596398
"2014-01-01",20984331.3284147
"2014-02-01",16244492.2146078
"2014-03-01",11915791.681062
"2014-04-01",12458423.7951371
"2014-05-01",25903053.615401
"2014-06-01",18805021.8110382
"2014-07-01",10998026.0829839
"2014-08-01",11036786.5124237
"2014-09-01",11683456.2194332
"2014-10-01",8427672.77173865
"2014-11-01",7888968.98829953
"2014-12-01",8471769.22920962
"2015-01-01",6821509.28921569
"2015-02-01",9464197.64821803
"2015-03-01",8083691.70801919
"2015-04-01",6965494.85380988
"2015-05-01",7635017.22593386
"2015-06-01",7525482.90743678
"2015-07-01",10202310.6111969
"2015-08-01",19045861.986295
"2015-09-01",7299541.93097484
"2015-10-01",13462324.3509465
"2015-11-01",11395026.3430736
"2015-12-01",5349340.47173489
"2016-01-01",8074704.6012981
"2016-02-01",8664991.71881188
"2016-03-01",6732768.55217718
"2016-04-01",7984068.45123457
"2016-05-01",6232973.44386228
"2016-06-01",8905717.89302908
"2016-07-01",10114185.7131148
"2016-08-01",7891899.01378154
"2016-09-01",12763325.8997163
"2016-10-01",6551682.31289292
"2016-11-01",7571476.54979096
"2016-12-01",8232839.86921106
"2017-01-01",22236172.5245823
"2017-02-01",24097109.2581177
"2017-03-01",18249664.7609361
"2017-04-01",23714132.4227877
"2017-05-01",16807279.4172033
"2017-06-01",9296798.92735268
"2017-07-01",7733715.44794872
"2017-08-01",22414414.7006152
"2017-09-01",19273633.9533427
"2017-10-01",7662252.57848655
"2017-11-01",10492632.198512
"2017-12-01",14302057.2219982
"2018-01-01",9471653.82886098
"2018-02-01",12239150.2362903
"2018-03-01",9429292.1107231
"2018-04-01",8898778.9609466
"2018-05-01",8844578.50090167
"2018-06-01",9495083.55122189
"2018-07-01",7925663.63871394
"2018-08-01",8297591.48016751
"2018-09-01",7948712.80490925
"2018-10-01",7520265.10515967
"2018-11-01",6733165.9643028
"2018-12-01",9012194.07767242
"2019-01-01",8741193.32656556
"2019-02-01",7248389.44874948
"2019-03-01",7420190.17180371
"2019-04-01",8182137.80793681
"2019-05-01",8154972.33841091
"2019-06-01",7757921.75174245
"2019-07-01",7911252.90133555
"2019-08-01",7882436.32437615
"2019-09-01",8277391.57359267
"2019-10-01",7084446.85770505
"2019-11-01",5938375.60570722
"2019-12-01",7196936.50617394
"2020-01-01",7354697.66766457
"2020-02-01",7502422.77473303
"2020-03-01",7482091.45665114
"2020-04-01",8013030.40520236
"2020-05-01",7755312.1367971
"2020-06-01",8551724.2441009
"2020-07-01",8653795.49038719
"2020-08-01",8702038.10335097
"2020-09-01",8900490.93923404
"2020-10-01",8798135.91722392
"2020-11-01",7633238.88004863
"2020-12-01",7221566.05356778
"2021-01-01",8899368.97819814
"2021-02-01",9347999.61644055
"2021-03-01",9159625.82105974
"2021-04-01",10266373.0538497
"2021-05-01",9914939.4670645
"2021-06-01",9474419.01154833
"2021-07-01",9895950.49690136
"2021-08-01",11556702.0557078
"2021-09-01",12173654.9184395
"2021-10-01",11596894.9779043
"2021-11-01",9602856.75241476
"2021-12-01",10559127.2703081
"2022-01-01",9985806.93839452
"2022-02-01",10184794.4030418
"2022-03-01",9896628.75222288
"2022-04-01",6121387.03114618
"2022-05-01",7723809.01034483
"2022-06-01",11684054.0540541
"2022-07-01",11480720
"2022-08-01",9452661.96491228
"2022-09-01",4395000
