"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","板橋區","房地(土地+建物)","新北市板橋區民生路三段３２１號十五樓之１","2.53","住","1031011","土地1建物1車位0","十五層","三十七層","住宅大樓(11層含以上有電梯)","住家用","0950914","75.37","2","1","1","有","有","11500000","152581","","0",47.22,0,6.68,0
"2","板橋區","房地(土地+建物)","新北市板橋區文化路二段548巷8弄3之4號","38.8","住","1030831","土地1建物1車位0","五層，陽台","五層","公寓(5樓含以下無電梯)","住家用","","116.45","4","2","2","有","無","11000000","94461","","0",116.45,0,0,0
"3","板橋區","房地(土地+建物)","新北市板橋區民生路三段323號22樓","1.44","住","1030819","土地1建物1車位0","二十二層","三十七層","套房(1房1廳1衛)","住家用","0950914","42.07","1","1","1","有","有","6850000","162824","","0",15.64,0,11.51,0
"4","板橋區","房地(土地+建物)","新北市板橋區萬板路36號13樓之12","12.48","住","1031005","土地1建物1車位0","十三層","十五層","住宅大樓(11層含以上有電梯)","住家用","0971124","132.82","3","2","2","有","有","25000000","188225","","0",93.01,1.12,6.1,0
"5","土城區","房地(土地+建物)","新北市土城區廣明街２０巷２號三樓","22.81","住","1031009","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0740805","99.24","3","2","1","有","無","8600000","86659","","0",89.29,0,9.95,0
"6","板橋區","房地(土地+建物)+車位","新北市板橋區金門街８５號三樓","33.05","住","1031005","土地1建物1車位1","三層","十一層","住宅大樓(11層含以上有電梯)","住家用","1000810","229.03","4","2","2","有","有","18320000","79990","坡道平面","0",114.54,5.58,11.1,0
"7","板橋區","房地(土地+建物)","新北市板橋區民享街１０３之１號","27.75","住","1030926","土地1建物1車位0","二層，陽台","四層","公寓(5樓含以下無電梯)","住家用","0640122","77.32","3","2","1","有","無","9500000","122866","","0",77.32,0,0,0
"8","土城區","房地(土地+建物)","新北市土城區中央路一段３１８巷１３弄６之１號","31.08","住","1031008","土地2建物1車位0","二層，陽台","四層","公寓(5樓含以下無電梯)","住家用","","75.4","3","1","1","有","無","5500000","72944","","0",75.4,0,0,0
"9","板橋區","房地(土地+建物)","新北市板橋區民生路三段３１９號十三樓之４","2.44","住","1030906","土地1建物1車位0","十三層","三十七層","住宅大樓(11層含以上有電梯)","住家用","0950914","72.6","2","1","1","有","有","11000000","151536","","0",45.11,0,6.68,0
"10","土城區","房地(土地+建物)","新北市土城區中央路二段１５９號九樓之二","4.98","商","1031014","土地6建物1車位0","九層","十二層","套房(1房1廳1衛)","住家用","","38.08","1","1","1","有","有","4300000","112920","","0",28.63,0,3.42,0
"11","板橋區","房地(土地+建物)","新北市板橋區長安街１３８巷１弄３３０之２號","22.5","住","1031007","土地2建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","0650921","52.21","2","1","1","有","無","3700000","70868","","0",52.21,0,0,0
"12","土城區","房地(土地+建物)","新北市土城區學府路一段２１６號二樓","23.17","住","1031023","土地2建物1車位0","二層，陽台","五層","公寓(5樓含以下無電梯)","住家用","0691204","76.74","3","2","1","有","無","7000000","91217","","0",76.74,0,0,0
"13","土城區","房地(土地+建物)","新北市土城區學府路一段２１８號二樓","23.15","住","1031023","土地1建物1車位0","二層，陽台","五層","公寓(5樓含以下無電梯)","住家用","0691204","76.74","3","2","1","有","無","7000000","91217","","0",76.74,0,0,0
"14","土城區","房地(土地+建物)","新北市土城區裕民路１１４巷２１號","14.2","住","1031023","土地1建物1車位0","一層","十七層","住宅大樓(11層含以上有電梯)","住家用","0841109","125.12","1","0","1","有","有","15000000","119885","","0",75.57,7.19,0,0
"15","板橋區","房地(土地+建物)","新北市板橋區中山路二段３１８巷２０弄１６之３號","17.0","住","1030930","土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","0600507","63.96","3","1","1","有","無","5800000","90682","","0",63.96,0,0,0
"16","土城區","房地(土地+建物)","新北市土城區明德路一段２２６之１號六樓","14.42","住","1031012","土地1建物1車位0","六層","十一層","住宅大樓(11層含以上有電梯)","住家用","0830705","78.62","2","1","1","有","有","7600000","96668","","0",50.95,0,8.33,0
"17","土城區","房地(土地+建物)+車位","新北市土城區南天母路１０號七樓","48.21","住","1030830","土地1建物1車位1","七層","七層","華廈(10層含以下有電梯)","住家用","0850823","130.16","3","2","2","有","有","7700000","59158","坡道平面","0",70.09,1.69,9.88,0
"18","土城區","房地(土地+建物)","新北市土城區金城路二段２１９號五樓","37.16","住","1030918","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0780107","130.38","3","2","2","有","無","7500000","57524","","0",114.87,0,15.51,0
"19","五股區","房地(土地+建物)+車位","新北市五股區水碓七路１７０號三樓","31.08","住","1031020","土地1建物1車位1","三層","五層","公寓(5樓含以下無電梯)","住家用","0840705","95.03","1","1","1","有","無","6150000","64716","坡道平面","0",53.96,1.84,5.58,0
"20","新莊區","房地(土地+建物)","新北市新莊區中港路406巷1弄10號3樓","25.16","住","1030617","土地1建物1車位0","三層，陽台","四層","公寓(5樓含以下無電梯)","住家用","0660812","72.8","3","2","1","有","無","7150000","98214","","0",72.8,0,0,0
"21","新莊區","房地(土地+建物)","新北市新莊區中華路二段116號4樓","13.37","住","1030920","土地1建物1車位0","四層","十層","華廈(10層含以下有電梯)","住家用","0830908","100.12","3","2","2","有","有","10600000","105873","","0",76.1,1.72,9.4,0
"22","林口區","房地(土地+建物)+車位","新北市林口區中山路５６６號七樓之六","16.55","商","1031017","土地1建物1車位1","七層","十五層","住宅大樓(11層含以上有電梯)","住家用","0970111","178.14999999999998","4","2","2","有","有","16600000","93180","坡道平面","0",95.53,2.55,6.97,0
"23","新莊區","房地(土地+建物)","新北市新莊區中平路３０２巷１４號二樓","18.23","住","1031010","土地1建物1車位0","二層","十四層","住宅大樓(11層含以上有電梯)","住家用","0850117","147.04","3","1","2","有","有","12250000","83311","","0",80.78,1.18,9.7,0
"24","新莊區","房地(土地+建物)","新北市新莊區裕民街８５巷２２弄１２之２號","20.29","住","1031003","土地1建物1車位0","三層，陽台","四層","公寓(5樓含以下無電梯)","住家用","0660827","71.05","3","1","1","有","無","2250000","31668","","0",71.05,0,0,0
"25","新莊區","房地(土地+建物)+車位","新北市新莊區建安街８４號八樓","22.32","住","1031020","土地1建物1車位1","八層","八層","華廈(10層含以下有電梯)","住家用","0860217","151.45999999999998","3","2","2","有","無","12300000","81210","坡道平面","0",82.73,0.66,9.35,0
"26","五股區","房地(土地+建物)+車位","新北市五股區六合街１號八樓","78.06","住","1031021","土地3建物1車位1","八層","八層","華廈(10層含以下有電梯)","住家用","0970814","210.65","4","2","2","有","有","6150000","29195","坡道平面","0",117.05,0,10.37,0
"27","五股區","房地(土地+建物)+車位","新北市五股區六合街１０６號五樓","69.94","住","1031024","土地3建物1車位1","五層","八層","華廈(10層含以下有電梯)","住家用","0970814","187.94","3","2","2","有","有","4400000","23412","坡道平面","0",103,0,10.37,0
"28","新莊區","房地(土地+建物)","新北市新莊區龍安路３０號九樓","8.8","住","1031003","土地1建物1車位0","九層","十層","華廈(10層含以下有電梯)","住家用","0971128","77.22","1","1","1","有","有","8030000","103989","","0",45.8,0,5.2,0
"29","新莊區","房地(土地+建物)","新北市新莊區後港一路１３０巷２號二樓","10.33","住","1031020","土地2建物1車位0","二層","十層","華廈(10層含以下有電梯)","住家用","0840102","75.24000000000001","2","2","1","有","有","7300000","97023","","0",47.28,0,6.99,0
"30","新莊區","房地(土地+建物)","新北市新莊區建安街６２巷３弄６號三樓","35.13","住","1031001","土地4建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0790525","144.06","3","2","2","有","無","6000000","41649","","0",117.31,0,8.84,0
"31","新莊區","房地(土地+建物)+車位","新北市新莊區化成路４８９之３號","92.05","住","1031006","土地3建物1車位2","全","四層","透天厝","住家用","0960115","284.90999999999997","5","2","4","有","無","35500000","124601","坡道平面","0",189.94,0,21.62,0
"32","新莊區","房地(土地+建物)+車位","新北市新莊區西盛街３４８號三樓","20.61","住","1030927","土地1建物1車位1","三層","八層","華廈(10層含以下有電梯)","住家用","0820320","148.85","3","1","2","有","有","10400000","69869","坡道平面","0",84.71,0,16.93,0
"33","林口區","房地(土地+建物)+車位","新北市林口區文化二路一段２７９之１號五樓","11.3","商","1031002","土地1建物1車位1","五層","十四層","住宅大樓(11層含以上有電梯)","住家用","0951113","114.58000000000001","2","2","1","有","有","10800000","94257","坡道機械","0",66.82,2.49,5.17,0
"34","五股區","房地(土地+建物)+車位","新北市五股區六合街１７號二樓","69.94","住","1031021","土地3建物1車位1","二層","八層","華廈(10層含以下有電梯)","住家用","0970814","188.49","3","2","2","有","無","4450000","23609","坡道平面","0",103.55,0,10.37,0
"35","五股區","房地(土地+建物)+車位","新北市五股區六合街５號二樓","69.94","住","1031024","土地3建物1車位1","二層","八層","華廈(10層含以下有電梯)","住家用","0970814","187.94","3","2","2","有","有","6800000","36182","坡道平面","0",103,0,10.37,0
"36","新莊區","房地(土地+建物)","新北市新莊區思源路１７７巷５弄１３號三樓","18.92","住","1030914","土地1建物1車位0","三層，陽台","四層","公寓(5樓含以下無電梯)","住家用","0680509","64.68","3","1","2","有","無","6500000","100495","","0",64.68,0,0,0
"37","五股區","房地(土地+建物)","新北市五股區民義路一段６９號三樓","24.59","住","1030910","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0790704","87.80000000000001","3","2","1","有","無","4600000","52392","","0",75.92,0.76,8.33,0
"38","新莊區","房地(土地+建物)+車位","新北市新莊區新北大道七段２４３號三樓","12.18","住","1031028","土地1建物1車位1","三層","十二層","住宅大樓(11層含以上有電梯)","住家用","0830607","110.83000000000001","3","2","1","有","有","8600000","77596","坡道平面","0",75.65,0,10.03,0
"39","新莊區","房地(土地+建物)","新北市新莊區自治街３２之３號","12.88","住","1031014","土地1建物1車位0","四層，陽台","四層","公寓(5樓含以下無電梯)","住家用","0641107","46.0","3","3","2","有","無","4500000","97826","","0",46,0,0,0
"40","新莊區","房地(土地+建物)+車位","新北市新莊區新北大道七段６１８號九樓","15.41","住","1031008","土地1建物1車位1","九層","十四層","住宅大樓(11層含以上有電梯)","住家用","0921127","156.09","3","2","2","有","有","11000000","70472","坡道平面","0",81.42,0.64,19.7,0
"41","林口區","房地(土地+建物)","新北市林口區南勢六街３０巷３７號二樓","36.53","住","1030927","土地1建物1車位0","二層","七層","華廈(10層含以下有電梯)","住家用","0971202","123.46","3","2","2","有","無","9000000","72898","","0",74.58,6.43,10.73,0
"42","新莊區","房地(土地+建物)","新北市新莊區新北大道七段312號十四樓","4.97","住","1030921","土地2建物1車位0","十四層","十八層","住宅大樓(11層含以上有電梯)","住家用","0880409","56.35","2","1","1","有","有","5700000","101154","","0",36.16,0,5.07,0
"43","新店區","房地(土地+建物)","新北市新店區溪園路389之18號5樓","5.98","住","1030913","土地1建物1車位0","五層","十四層","套房(1房1廳1衛)","住家用","0921201","50.65","1","1","1","有","有","7900000","155972","","0",33.48,0,5.35,0
"44","新店區","房地(土地+建物)","新北市新店區安和路二段203號9樓","3.25","住","1030920","土地1建物1車位0","九層","十二層","套房(1房1廳1衛)","住家用","0840920","31.55","1","0","1","有","有","4000000","126783","","0",25.12,1.06,0,0
"45","新店區","房地(土地+建物)","新北市新店區二十張路79巷19號2樓","28.84","住","1031005","土地1建物1車位0","二層","四層","公寓(5樓含以下無電梯)","住家用","0640813","95.8","5","0","5","有","無","12630000","131837","","0",84.59,0,11.21,0
"46","新店區","房地(土地+建物)+車位","新北市新店區文化路23之8號8樓","14.86","住","1031011","土地1建物1車位1","八層","十五層","住宅大樓(11層含以上有電梯)","住家用","0980505","169.11","3","2","2","有","有","25500000","150789","坡道機械","0",80.52,3.33,9.34,0
"47","新店區","房地(土地+建物)+車位","新北市新店區安忠路56巷15號","25.43","住","1031005","土地1建物1車位1","一層","十四層","住宅大樓(11層含以上有電梯)","住家用","0910416","162.74","3","2","2","有","有","12000000","73737","坡道平面","0",88.94,0,10.64,0
"48","新店區","房地(土地+建物)+車位","新北市新店區寶橋路78巷13號15樓","21.09","住","1031002","土地1建物1車位2","十五層","二十二層","住宅大樓(11層含以上有電梯)","住家用","0990903","259.11","4","2","3","有","有","41000000","158234","坡道平面","0",130.08,5.31,11.9,0
"49","新店區","房地(土地+建物)+車位","新北市新店區安康路二段１５９巷６號９樓之２","11.48","住","1031007","土地1建物1車位1","九層","十五層","住宅大樓(11層含以上有電梯)","住家用","0870629","130.09","2","1","1","有","有","8500000","65339","坡道平面","0",54.67,1.36,3.49,0
"50","新店區","房地(土地+建物)","新北市新店區文化路２３之３號３樓","6.44","住","1030929","土地1建物1車位0","三層","十五層","套房(1房1廳1衛)","住家用","0980505","60.42","1","1","1","有","有","11400000","188679","","0",36.39,1.82,5.31,0
"51","新店區","房地(土地+建物)+車位","新北市新店區中正路４８９之２號１２樓之３","9.46","其他","1031015","土地2建物1車位1","十二層","十四層","住宅大樓(11層含以上有電梯)","住家用","0880406","137.44","2","2","2","有","有","16050000","116778","坡道平面","0",54.49,3.96,16.73,0
"52","新店區","房地(土地+建物)","新北市新店區安泰路６０巷９０弄１６號","76.43","住","1030924","土地1建物1車位0","全","二層","透天厝","住家用","0700423","82.08","5","4","4","有","無","8000000","97466","","0",82.08,0,0,0
"53","深坑區","房地(土地+建物)+車位","新北市深坑區文化街38之3號六樓","22.57","住","1031006","土地1建物1車位1","六層","十四層","住宅大樓(11層含以上有電梯)","住家用","0960402","141.75","0","0","0","有","有","14200000","100176","坡道平面","0",71.18,2.1,10.45,0
"54","汐止區","房地(土地+建物)","新北市汐止區福德二路156巷16號10樓","12.57","住","1031014","土地1建物1車位0","十層","十六層","住宅大樓(11層含以上有電梯)","住家用","0850116","75.21","2","2","1","有","有","8200000","109028","","0",51.45,0.79,6.77,0
"55","汐止區","房地(土地+建物)","新北市汐止區樟樹一路２巷１號４樓","6.71","住","1031012","土地1建物1車位0","四層","十二層","套房(1房1廳1衛)","住家用","0870403","34.3","1","1","1","有","有","4180000","121866","","0",23.77,0,4.53,0
"56","汐止區","房地(土地+建物)","新北市汐止區大同路二段２６１之１號二十六樓","4.48","住","1031014","土地1建物1車位0","二十六層","二十九層","住宅大樓(11層含以上有電梯)","住家用","1001223","49.86","14","1","1","有","有","8300000","166466","","0",31.33,0,3.82,0
"57","淡水區","房地(土地+建物)+車位","新北市淡水區新民街120巷31號十一樓","18.62","住","1031014","土地1建物1車位1","十一層","十六層","住宅大樓(11層含以上有電梯)","住家用","0810508","168.01999999999998","3","2","2","有","有","7200000","42852","坡道平面","0",85.86,1.35,13.62,0
"58","淡水區","房地(土地+建物)","新北市淡水區學府路１３６巷５７號十四樓之１６","7.1","住","1031019","土地1建物1車位0","十四層","十四層","套房(1房1廳1衛)","住家用","0961002","33.84","0","0","0","無","有","2280000","67376","","0",19.67,0,2.94,0
"59","八里區","房地(土地+建物)","新北市八里區中山路一段１２９巷３９號二樓","20.99","住","1031014","土地1建物1車位0","二層","十二層","住宅大樓(11層含以上有電梯)","住家用","0860617","92.88999999999999","3","2","2","有","有","5100000","54904","","0",64.64,0,8.18,0
"60","淡水區","房地(土地+建物)+車位","新北市淡水區中正東路一段３巷１４弄１７號八樓之３","21.43","住","1030926","土地2建物1車位1","八層","二十四層","住宅大樓(11層含以上有電梯)","住家用","0961121","178.42000000000002","4","2","2","有","有","14500000","81269","坡道平面","0",101.51,0.83,11.71,0
"61","貢寮區","房地(土地+建物)","新北市貢寮區新港街２６巷６之２號四樓","23.5","住","1031002","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0820219","87.78999999999999","3","1","1","有","無","2000000","22782","","0",72.86,0,12.35,0
