"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","板橋區","房地(土地+建物)","新北市板橋區雙十路二段6之2號3樓","31.25","住","1070614","土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","","79.04","3","2","1","有","無","9300000","117662","","0",79.04,0,0,0
"2","板橋區","房地(土地+建物)+車位","新北市板橋區長江路二段155號2樓","24.61","住","1070722","土地1建物1車位1","二層","十五層","住宅大樓(11層含以上有電梯)","住家用","0990115","198.74","3","2","2","有","有","23000000","115729","坡道平面","0",111.92,0,12.05,0
"3","板橋區","房地(土地+建物)","新北市板橋區四維路１３４之３號","18.6","住","1070702","土地1建物1車位0","四層，陽台","五層","公寓(5樓含以下無電梯)","住家用","","72.19","3","2","1","有","無","5200000","72032","","0",72.19,0,0,0
"4","土城區","房地(土地+建物)","新北市土城區中華路二段１１５號五樓","27.07","住","1070703","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","","86.4","3","2","1","有","無","6450000","74653","","0",74.7,0,11.7,0
"5","土城區","房地(土地+建物)","新北市土城區中正路６７巷３２號四樓","32.34","住","1070614","土地1建物1車位0","四層，陽台","四層","公寓(5樓含以下無電梯)","住家用","","87.04","5","3","2","有","無","9250000","106273","","0",87.04,0,0,0
"6","土城區","房地(土地+建物)","新北市土城區中州路３０巷２１號四樓","9.36","住","1070705","土地5建物1車位0","四層","十九層","套房(1房1廳1衛)","住家用","1020503","59.190000000000005","1","1","1","有","有","4500000","76026","","0",38.62,0,3.47,0
"7","板橋區","房地(土地+建物)","新北市板橋區金門街３１巷４６號五樓","11.08","住","1070712","土地1建物1車位0","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","0871120","76.83","2","1","1","有","有","6000000","78094","","0",47.98,1.3,3.57,0
"8","土城區","房地(土地+建物)","新北市土城區裕生路８２巷１４號二樓","34.18","住","1070717","土地1建物1車位0","二層","四層","公寓(5樓含以下無電梯)","住家用","0650724","97.22","3","2","4","有","無","9400000","96688","","0",84.16,0,13.06,0
"9","板橋區","房地(土地+建物)","新北市板橋區懷德街２３３巷２１之３號","19.25","住","1070720","土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","","50.04","5","0","5","有","無","7500000","149880","","0",39.94,0,10.1,0
"10","土城區","房地(土地+建物)","新北市土城區明德路一段５３號三樓","24.06","住","1070701","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0701221","81.74","3","2","1","有","無","7500000","91754","","0",76.44,0,5.3,0
"11","土城區","房地(土地+建物)+車位","新北市土城區延吉街３９１號十樓","25.36","住","1070616","土地1建物1車位1","十層","十五層","住宅大樓(11層含以上有電梯)","住家用","0980122","172.21","2","1","2","有","有","17000000","98717","坡道平面","0",88.98,2.85,7.9,0
"12","新莊區","房地(土地+建物)","新北市新莊區建中街１６巷５號","33.11","住","1070727","土地1建物1車位0","一層","四層","公寓(5樓含以下無電梯)","住家用","0630822","81.8","2","1","1","有","無","14800000","180929","","0",81.8,0,0,0
"13","新莊區","房地(土地+建物)","新北市新莊區化成路５７９巷２３號","27.54","","1070712","土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","0811204","105.92","3","2","2","有","無","7700000","72696","","0",85.92,9.72,0,0
"14","新莊區","房地(土地+建物)","新北市新莊區西盛街３８８巷７號三樓","18.38","住","1070709","土地1建物1車位0","三層","八層","華廈(10層含以下有電梯)","住家用","0861118","107.4","3","2","2","有","有","9300000","86592","","0",76.22,0,12.92,0
"15","新莊區","房地(土地+建物)","新北市新莊區民安西路３７６號八樓之四","20.79","住","1070722","土地1建物1車位0","八層","二十一層","住宅大樓(11層含以上有電梯)","住家用","0850311","140.58","4","2","2","有","有","8580000","61033","","0",97.67,0,11.78,0
"16","新莊區","房地(土地+建物)","新北市新莊區中榮街１號五樓","18.28","住","1070710","土地1建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","0850419","103.35000000000001","3","2","2","有","有","10100000","97726","","0",80.95,0,5.78,0
"17","新莊區","房地(土地+建物)","新北市新莊區天祥街５４巷６弄１１號五樓","17.49","住","1070612","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0701228","63.93","2","2","1","有","無","4000000","62568","","0",58.42,0,5.51,0
