"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","文山區","房地(土地+建物)","臺北市文山區福興路４６巷２弄５號","22.5","住","1110206","土地1建物1車位0","一層，平台","四層","公寓(5樓含以下無電梯)","住家用","","68.61","2","1","1","有","無","10000000","145751","","0",68.61,0,0,"無"
"2","萬華區","房地(土地+建物)","臺北市萬華區漢口街二段５１號九樓之５","6.39","商","1110208","土地1建物1車位0","九層","十五層","住宅大樓(11層含以上有電梯)","住家用","1010530","84.19","2","1","1","有","有","17680000","210001","","0",51.78,2.65,0,"有"
"3","中山區","房地(土地+建物)","臺北市中山區四平街１０７號六樓之１","9.35","住","1110210","土地1建物1車位0","六層","十層","華廈(10層含以下有電梯)","住家用","0900827","38.9","0","0","0","無","有","9700000","249293","","0",19.92,0.56,3.38,"有"
"4","士林區","房地(土地+建物)","臺北市士林區延平北路五段５０號九樓","22.91","住","1110209","土地2建物1車位0","九層","十三層","住宅大樓(11層含以上有電梯)","住家用","1020312","143.46","3","2","2","有","無","24000000","167294","","0",85.25,4.06,6.64,"有"
"5","文山區","房地(土地+建物)+車位","臺北市文山區辛亥路六段３７號三樓之２","22.81","住","1110210","土地2建物1車位2","三層","十四層","住宅大樓(11層含以上有電梯)","住家用","0970521","132.11","2","1","1","有","有","19800000","149864","坡道機械","0",54.23,2.17,3.69,"有"
"6","大同區","房地(土地+建物)","臺北市大同區民權西路１０２巷４弄２３號四樓","8.81","住","1110210","土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","0580325","21.85","2","1","1","有","無","2440000","111670","","0",21.85,0,0,"無"
"7","中山區","房地(土地+建物)","臺北市中山區民權東路二段２６號十一樓","12.52","商","1110215","土地1建物2車位0","十一層","十二層","住宅大樓(11層含以上有電梯)","住家用","0730406","132.15","2","2","1","有","有","26250000","198638","","0",85.03,0,15.88,"有"
"8","松山區","房地(土地+建物)","臺北市松山區寧安街５巷５號","6.04","住","1110210","土地1建物1車位0","一層","四層","公寓(5樓含以下無電梯)","住家用","","15.58","3","2","2","有","無","4200000","269576","","0",15.58,0,0,"無"
"9","北投區","房地(土地+建物)","臺北市北投區明德路３３３巷２２號","33.0","住","1110206","土地2建物1車位0","一層","四層","公寓(5樓含以下無電梯)","住家用","0620108","94.3","3","2","1","有","無","23300000","247084","","0",94.3,0,0,"無"
"10","文山區","車位","臺北市文山區興隆路三段１３９號","0.04","住","1110212","土地1建物1車位1","一層","十層","其他","住家用","0970523","15.05","0","0","0","有","有","1000000","","坡道機械","1000000",0,0,0,"有"
