"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","湖內區","房地(土地+建物)","高雄市湖內區中正路二段２４５巷５２號","148.27","住","1101105","土地1建物1車位0","全","三層","透天厝","住家用","1040430","208.85","5","2","4","有","無","12800000","61288","","0",180.36,0,28.49,"無"
"2","岡山區","房地(土地+建物)","高雄市岡山區大成街３９巷２３號","111.56","住","1101103","土地2建物1車位0","全","四層","透天厝","住家用","1090130","214.6","6","2","4","有","無","3679000","17144","","0",196.5,0,18.1,"無"
"3","楠梓區","房地(土地+建物)","高雄市楠梓區福興街２１５巷１０號","101.88","住","1101101","土地2建物1車位0","全","四層","透天厝","住家用","1091216","226.81","5","2","4","有","無","16000000","70544","","0",205.96,0,20.85,"無"
"4","左營區","房地(土地+建物)+車位","高雄市左營區榮總路１４１巷１５號七樓之２","19.88","住","1101106","土地1建物1車位1","七層","十四層","住宅大樓(11層含以上有電梯)","住家用","0870319","166.68","4","2","2","有","有","7725000","46346","坡道平面","0",96.89,0,11.25,"有"
"5","苓雅區","房地(土地+建物)","高雄市苓雅區意誠路７號３樓之１４","3.14","商","1101103","土地1建物1車位0","三層，走廊","十一層","住宅大樓(11層含以上有電梯)","住家用","0830927","39.22","0","0","0","無","有","2100000","53544","","0",27.61,0,3.06,"有"
"6","湖內區","房地(土地+建物)","高雄市湖內區民生街２０７號７樓之３","12.64","住","1101101","土地1建物2車位0","七層","七層","華廈(10層含以下有電梯)","住家用","0880224","67.42","2","1","2","有","有","1300000","19282","","0",38.53,0,4.72,"有"
"7","大寮區","房地(土地+建物)","高雄市大寮區仁德路１０之１號十七樓之２","9.27","住","1101102","土地1建物1車位0","十七層","十九層","住宅大樓(11層含以上有電梯)","住家用","0840217","91.55","2","2","2","有","有","3000000","32769","","0",64.06,0,10.93,"有"
"8","小港區","房地(土地+建物)","高雄市小港區民義街３６之３號","27.1","住","1101102","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0701223","76.04","3","2","2","有","無","1700000","22357","","0",76.04,0,0,"無"
"9","三民區","房地(土地+建物)+車位","高雄市三民區覺民路２８５巷３２號十三樓","12.2","住","1101104","土地2建物1車位1","十三層","十五層","住宅大樓(11層含以上有電梯)","住家用","1040813","116.64","2","2","1","有","有","6230000","53412","坡道平面","0",48.87,4.24,5.92,"有"
"10","鳳山區","房地(土地+建物)","高雄市鳳山區中山東路３３９巷３０號","63.0","住","1101108","土地1建物1車位0","全","二層","透天厝","住家用","0630215","73.53","3","2","2","有","無","5000000","67999","","0",73.53,0,0,"無"
