"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","前金區","房地(土地+建物)","高雄市前金區河南二路164號10樓之1","10.92","住","1061229","土地2建物1車位0","十層","二十層","住宅大樓(11層含以上有電梯)","住家用","0841219","116.45","1","1","2","有","有","3200000","27480","","0",81.06,0,8.47,0
"2","鼓山區","房地(土地+建物)","高雄市鼓山區美術南五街８巷１２號　","140.03","住","1070111","土地2建物1車位0","全","五層","透天厝","住家用","0970811","510.11","5","2","6","有","無","37450000","73416","","0",453.24,8.49,5.63,0
"3","鼓山區","房地(土地+建物)+車位","高雄市鼓山區馬卡道路３９５號１７樓","24.72","住","1070114","土地1建物1車位1","十七層","二十八層","住宅大樓(11層含以上有電梯)","住家用","1010411","282.05","3","2","2","有","有","19500000","67812","坡道平面","1500000",154.64,4.58,21.33,0
"4","旗津區","房地(土地+建物)","高雄市旗津區旗津三路９２４巷１３號","114.5","住","1070118","土地3建物1車位0","全","二層","透天厝","住家用","0761216","112.34","4","2","2","有","無","8500000","75663","","0",105.67,6.67,0,0
"5","新興區","房地(土地+建物)+車位","高雄市新興區信守街１６８號７樓之５","6.93","商","1070119","土地1建物1車位1","七層","十四層","住宅大樓(11層含以上有電梯)","住家用","0870803","90.4","2","2","1","有","有","3950000","43695","升降機械","0",44.76,0,13.84,0
"6","苓雅區","房地(土地+建物)+車位","高雄市新興區民族二路７２號五樓","16.44","住","1070106","土地1建物1車位2","五層","三十三層","住宅大樓(11層含以上有電梯)","住家用","1030901","384.16999999999996","0","0","0","無","有","24500000","63774","其他","0",193.77,14.4,19.36,0
"7","小港區","房地(土地+建物)","高雄市小港區高坪五十六街３２號","150.73","住","1070118","土地1建物1車位0","全","四層","透天厝","住家用","1061114","278.49","5","2","4","有","無","14800000","53144","","0",262.16,0,16.33,0
"8","前鎮區","房地(土地+建物)","高雄市前鎮區一心二路２０６號十一樓之８","2.55","商","1070125","土地1建物1車位0","十一層","二十層","住宅大樓(11層含以上有電梯)","住家用","0831001","50.31","1","1","1","有","有","1700000","33790","","0",25.94,0.64,3.92,0
"9","小港區","房地(土地+建物)","高雄市小港區高坪七十街７０號","117.26","住","1061208","土地1建物1車位0","全","四層","透天厝","住家用","1050328","235.57","5","2","5","有","無","14150000","60067","","0",213.12,0,22.45,0
"10","前鎮區","房地(土地+建物)+車位","高雄市前鎮區公正路２３號七樓","15.98","住","1070117","土地1建物1車位1","七層","十四層","住宅大樓(11層含以上有電梯)","住家用","0870919","159.99","4","2","2","有","有","7150000","44690","坡道平面","0",96.66,0,12.7,0
