"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","鼓山區","房地(土地+建物)+車位","高雄市鼓山區篤敬路35號十八樓之1","19.07","商","1071019","土地1建物1車位2","十八層","十九層","住宅大樓(11層含以上有電梯)","住家用","0841129","247.67000000000002","3","2","2","有","有","12300000","49663","坡道平面","0",134.24,0.85,19.4,0
"2","鹽埕區","房地(土地+建物)","高雄市鹽埕區瀨南街１７８巷５號","59.0","住","1071009","土地2建物1車位0","全","二層","透天厝","住家用","0280110","89.46","6","2","2","有","無","3950000","44154","","0",89.46,0,0,0
"3","鼓山區","房地(土地+建物)+車位","高雄市鼓山區美術東四路４６５號十五樓","21.7","住","1070916","土地1建物1車位1","十五層","十五層","住宅大樓(11層含以上有電梯)","住家用","0941114","150.07","3","2","2","有","有","8000000","53308","坡道平面","0",77.02,0,10.22,0
"4","鼓山區","房地(土地+建物)+車位","高雄市鼓山區美術北一街４９號十五樓","11.26","商","1071019","土地1建物1車位1","十五層","十五層","住宅大樓(11層含以上有電梯)","住家用","0941027","101.4","4","1","1","有","有","5900000","58185","坡道機械","0",61.21,0,4.97,0
"5","前金區","房地(土地+建物)","高雄市前金區中正四路１１８號８樓之１２","3.15","商","1070810","土地1建物1車位0","八層","十二層","套房(1房1廳1衛)","住家用","0850506","37.86","1","1","1","有","有","1470000","38827","","0",22.85,0.4,4.34,0
"6","鼓山區","房地(土地+建物)","高雄市鼓山區馬卡道路３４０號三樓","7.41","商","1071009","土地1建物1車位0","三層","十五層","住宅大樓(11層含以上有電梯)","住家用","1040731","81.98","2","1","1","有","有","5250000","64040","","0",49.12,0,4.66,0
"7","新興區","房地(土地+建物)","高雄市新興區南台路１２６號７樓之２","5.42","商","1071028","土地1建物1車位0","七層","七層","套房(1房1廳1衛)","住家用","0830630","39.34","1","1","1","有","有","1258000","31978","","0",22.61,0,3.41,0
"8","前鎮區","房地(土地+建物)","高雄市前鎮區一心二路206號三樓之10","2.15","商","1071029","土地1建物1車位0","三層","二十層","套房(1房1廳1衛)","住家用","0831001","36.56","1","1","1","有","有","1350000","36926","","0",20.38,0,5.03,0
"9","前鎮區","房地(土地+建物)","高雄市前鎮區瑞北路２７１巷２弄３號６樓","18.34","住","1071022","土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","0820311","101.9","3","2","2","有","有","4000000","39254","","0",59.93,3.7,18.17,0
"10","小港區","房地(土地+建物)+車位","高雄市小港區平和五路１２號三樓","35.83","住","1071006","土地2建物2車位1","三層","八層","華廈(10層含以下有電梯)","住家用","0881111","143.94","3","2","2","有","有","4200000","29179","坡道機械","0",89.3,0,12.48,0
"11","小港區","房地(土地+建物)","高雄市小港區鋼平街174巷4號","41.95","住","1071029","土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","0830226","157.62","3","2","2","有","無","4000000","25377","","0",98.98,13.1,0,0
"12","三民區","房地(土地+建物)","高雄市三民區裕誠路58之6號十樓","8.61","住","1071028","土地1建物1車位0","十層","十四層","住宅大樓(11層含以上有電梯)","住家用","0860709","83.33","2","1","1","有","有","3980000","47762","","0",55.5,0,5.74,0
"13","三民區","房地(土地+建物)+車位","高雄市三民區正忠路358號四樓","20.6","住","1071004","土地1建物1車位1","四層","九層","華廈(10層含以下有電梯)","住家用","0861003","172.29","4","2","2","有","有","5900000","34245","坡道平面","0",95.65,0,16.6,0
"14","三民區","房地(土地+建物)","高雄市三民區義光街３８號八樓之２","19.23","住","1071010","土地1建物1車位0","八層","十二層","住宅大樓(11層含以上有電梯)","住家用","0850320","127.8","3","2","2","有","有","5300000","41471","","0",80.15,2.11,7.74,0
"15","三民區","房地(土地+建物)","高雄市三民區大豐一路４３９之５號","66.0","住","1071009","土地1建物1車位0","全","五層","透天厝","住家用","0920402","213.96","5","2","4","有","無","12900000","60292","","0",184.48,1.73,27.75,0
"16","三民區","房地(土地+建物)","高雄市三民區修武街３８號四樓之７","3.01","商","1071029","土地1建物1車位0","四層","十一層","套房(1房1廳1衛)","住家用","0850625","29.82","1","1","1","有","有","1150000","38565","","0",20.33,0.6,0,0
