"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","北區","建物","臺南市北區公園路７４６巷６弄１５號","0.0","","1090411","土地0建物1車位0","全","三層","透天厝","住家用","0651001","119.31","4","2","3","有","無","3550000","29754","","0",119.31,0,0,""
"2","中西區","房地(土地+建物)","臺南市中西區西寧街７０號","56.65","住","1090410","土地1建物1車位0","全","二層","透天厝","住家用","0550101","76.46","4","2","2","有","無","4600000","60162","","0",76.46,0,0,""
"3","北區","房地(土地+建物)","臺南市北區正覺街１０２巷４０弄２８號","96.65","住","1090329","土地1建物1車位0","全","二層","透天厝","住家用","0621030","79.63","3","2","3","有","無","4800000","60279","","0",79.63,0,0,""
"4","安南區","房地(土地+建物)","臺南市安南區公學路六段660巷35弄6號","78.96","住","1090402","土地1建物1車位0","全","二層","透天厝","住家用","0840607","103.41","5","2","4","有","無","4700000","45450","","0",96.6,0,6.81,""
"5","安南區","房地(土地+建物)","臺南市安南區海佃路二段３４２巷２１弄３號","90.22","住","1090403","土地1建物1車位0","全","二層","透天厝","住家用","0660214","90.64","2","2","2","有","無","5000000","55163","","0",90.64,0,0,""
"6","安南區","房地(土地+建物)","臺南市安南區安興街２２２號","70.66","住","1080714","土地1建物1車位0","全","三層","透天厝","住家用","1081112","151.77","4","1","3","有","無","6500000","42828","","0",135.25,0,16.52,""
"7","東區","房地(土地+建物)+車位","臺南市東區中華東路二段１８５巷１４號六樓之１","10.87","住","1090401","土地3建物1車位1","六層","二十層","住宅大樓(11層含以上有電梯)","住家用","0841106","152.36","3","2","2","有","有","7000000","45944","坡道平面","0",82.94,0,12.21,""
"8","南區","房地(土地+建物)","臺南市南區德興路１６４巷４０號五樓之４","18.39","住","1090225","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0811208","76.84","2","1","1","有","無","1700000","22124","","0",55.64,1.54,6.11,""
"9","東區","房地(土地+建物)","臺南市東區德東街１５１巷３７弄７號八樓","15.27","住","1090331","土地3建物1車位0","八層","八層","華廈(10層含以下有電梯)","住家用","0840223","94.28","2","2","1","有","有","3100000","32881","","0",48.47,17.6,6.2,""
"10","東區","房地(土地+建物)","臺南市東區忠孝里崇明七街17號七樓","5.72","住","1090430","土地1建物1車位0","七層","七層","套房(1房1廳1衛)","住家用","0790922","32.03","1","0","1","有","有","1150000","35904","","0",21.82,0,3.72,""
"11","東區","房地(土地+建物)","臺南市東區泉南里東門路一段84號九樓","3.47","住","1090426","土地2建物1車位0","九層","九層","套房(1房1廳1衛)","住家用","0800122","22.09","1","0","1","有","有","800000","36215","","0",11,0.94,1.9,""
"12","東區","房地(土地+建物)","臺南市東區立德十路３號八樓之６","8.07","商","1090412","土地3建物1車位0","八層","九層","華廈(10層含以下有電梯)","住家用","0811222","69.42","2","2","1","有","有","2750000","39614","","0",50.71,0,8.87,""
"13","柳營區","房地(土地+建物)","臺南市柳營區果毅里６鄰果毅後６０之３９號","131.99","","1090409","土地2建物1車位0","全","三層","透天厝","住家用","1051013","161.22","5","2","4","有","無","7000000","43419","","0",159.19,0,2.03,""
"14","柳營區","房地(土地+建物)","臺南市柳營區果毅里６鄰果毅後６０之２５號","137.0","","1090417","土地2建物1車位0","全","三層","透天厝","住家用","1051013","159.45","5","2","4","有","無","6950000","43587","","0",158.61,0,0.84,""
"15","新營區","房地(土地+建物)+車位","臺南市新營區富強街３６號","23.55","住","1090422","土地1建物1車位1","一層","八層","華廈(10層含以下有電梯)","住家用","0830204","137.7","4","2","2","有","有","3800000","27596","坡道平面","0",85.67,12.46,0,""
