"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","前金區","房地(土地+建物)+車位","市中一路３３號七樓","33.6","都市：其他:第五種商業區","1090715","土地1建物1車位1","七層，八層","二十二層","住宅大樓(11層含以上有電梯)","住家用","0820416","431.37","6","3","4","有","有","15500000","35932","坡道平面","0",276.45,37,0,"有"
"2","前金區","房地(土地+建物)+車位","中正四路１１８號七樓之４","9.81","都市：其他:第五種商業區","1100130","土地1建物1車位1","七層","十二層","住宅大樓(11層含以上有電梯)","住家用","0850506","117.27000000000001","2","2","2","有","有","5900000","50311","升降機械","0",73.52,1.24,0,"有"
"3","鼓山區","房地(土地+建物)","雄峰路３７巷３５號","67.62","都市：其他:第三種住宅區。","1100124","土地2建物1車位0","全","五層","透天厝","住家用","1020820","228.99","5","2","5","有","有","17080000","74588","","0",200.38,28.61,0,"無"
"4","鼓山區","房地(土地+建物)+車位","中華一路２４７巷１５弄３９號八樓","25.66","都市：其他:第五種住宅區","1100208","土地1建物1車位1","八層","十五層","住宅大樓(11層含以上有電梯)","住家用","0790618","170.62","4","2","2","有","有","8200000","48060","坡道平面","0",104.22,8.39,0,"有"
"5","鼓山區","房地(土地+建物)","美術南三路１１６號六樓之１","13.3","都市：其他:特定第五種住宅區","1100217","土地1建物1車位0","六層","十四層","住宅大樓(11層含以上有電梯)","住家用","0930610","87.08","2","2","1","有","有","6300000","72347","","0",55.41,4.23,0,"有"
"6","鼓山區","房地(土地+建物)+車位","龍勝路７６號四樓之１","12.22","都市：其他:第四種商業區","1100201","土地1建物1車位1","四層","十五層","住宅大樓(11層含以上有電梯)","住家用","0941213","123.72","3","2","2","有","有","8350000","67491","坡道機械","0",69.54,13.12,0,"有"
"7","鼓山區","房地(土地+建物)+車位","美術東七街１０６號八樓","13.75","都市：其他:特定第四種商業區","1100125","土地1建物1車位1","八層","十五層","住宅大樓(11層含以上有電梯)","住家用","0950220","146.78","3","2","2","有","有","10550000","71876","坡道平面","0",77.71,11.37,0,"有"
"8","鼓山區","房地(土地+建物)+車位","美術館路１５５號七樓","12.82","都市：其他:特定第五種住宅區","1100115","土地1建物1車位2","七層","二十五層","住宅大樓(11層含以上有電梯)","住家用","0980428","99.52","3","2","3","有","有","12000000","120579","坡道平面","0",51.2,6.31,0,"有"
"9","前鎮區","房地(土地+建物)","光華三路２６７號十樓之３","8.44","都市：其他:第四種商業區","1100122","土地1建物1車位0","十層","十五層","住宅大樓(11層含以上有電梯)","住家用","0950302","85.5","2","2","1","有","有","5460000","63860","","0",50.96,6.1,0,"有"
"10","前鎮區","房地(土地+建物)","一心二路２０６號三樓之１","2.82","都市：其他:第四種商業區","1100205","土地1建物1車位0","三層","二十層","住宅大樓(11層含以上有電梯)","住家用","0831001","48.54","1","1","1","有","有","2500000","51504","","0",21.43,12.25,0,"有"
"11","前鎮區","房地(土地+建物)","鎮海八街４２號","65.55","都市：其他:第三種住宅區。","1100208","土地1建物1車位0","全","四層","透天厝","住家用","0950227","140.01","6","2","4","有","無","12000000","85708","","0",106.71,33.3,0,"無"
"12","前鎮區","房地(土地+建物)","瑞和街２８０巷１２號","45.0","都市：其他:第三種住宅區。","1100128","土地1建物1車位0","全","二層","透天厝","住家用","0600220","67.18","5","2","2","有","無","6600000","98244","","0",67.18,0,0,"無"
"13","小港區","房地(土地+建物)+車位","鳳德街１５７號四樓","25.58","都市：其他:第二種特定商業專用區","1100118","土地1建物1車位1","四層","六層","華廈(10層含以下有電梯)","住家用","0831224","131.56","3","2","2","有","無","4380000","33293","坡道機械","0",83,11.73,0,"有"
"14","小港區","房地(土地+建物)","福利路１２２號四樓","31.1","都市：其他:第三種住宅區。","1100206","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0780822","116.63","3","2","2","有","無","3250000","27866","","0",90.28,11.66,0,"無"
"15","小港區","房地(土地+建物)","松信路４８巷４６號","82.43","都市：其他:第三種住宅區。","1091228","土地2建物1車位0","全","四層","透天厝","住家用","0930922","192.58","4","2","3","有","無","7500000","38945","","0",162.43,30.15,0,"無"
"16","三民區","房地(土地+建物)","天祥一路１５９巷２９號二樓","7.21","都市：其他:第四種住宅區","1100201","土地2建物1車位0","二層","五層","華廈(10層含以下有電梯)","住家用","0960430","24.32","1","1","1","有","有","1600000","65789","","0",13.26,4.76,0,"有"
"17","三民區","房地(土地+建物)","鼎貴路２９號之１０五樓","9.87","都市：其他:第四種住宅區","1100206","土地1建物1車位0","五層","五層","華廈(10層含以下有電梯)","住家用","0950322","29.259999999999998","1","1","1","有","有","1695000","57929","","0",20.25,0,0,"有"
"18","三民區","房地(土地+建物)","正忠路７５號十樓之４","3.82","都市：其他:第四種商業區","1100209","土地2建物1車位0","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","0821120","37.66","0","0","0","無","有","1780000","47265","","0",19.4,7.26,0,"有"
