"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","板橋區","房地(土地+建物)","新北市板橋區自強新村２８之１號二樓","30.0","住","1070402","土地1建物1車位0","二層，陽台","五層","公寓(5樓含以下無電梯)","住家用","0680810","105.77","3","2","1","有","有","9600000","90763","","0",105.77,0,0,0
"2","板橋區","房地(土地+建物)","新北市板橋區建國街９３之２號","22.25","住","1070308","土地1建物1車位0","三層，陽台","四層","公寓(5樓含以下無電梯)","住家用","0620727","74.73","3","2","1","有","無","3513000","47009","","0",74.73,0,0,0
"3","板橋區","房地(土地+建物)+車位","新北市板橋區崑溪二街５７號七樓","29.04","住","1070411","土地1建物1車位1","七層","七層","華廈(10層含以下有電梯)","住家用","0980721","167.85","3","2","2","有","有","16500000","98302","升降機械","0",105.45,2.48,11.4,0
"4","板橋區","房地(土地+建物)","新北市板橋區萬板路４６６號三樓","23.8","住","1070413","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","","90.28","3","2","1","有","無","7750000","85844","","0",82.28,0,8,0
"5","土城區","房地(土地+建物)","新北市土城區裕民路１９５巷１０號十樓","16.01","住","1070325","土地1建物1車位0","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","0840907","88.02","3","2","2","有","有","9260000","105203","","0",68.09,0,8.27,0
"6","板橋區","房地(土地+建物)+車位","新北市板橋區民生路三段68號15樓之3","9.89","住","1070106","土地1建物1車位1","十五層","三十一層","住宅大樓(11層含以上有電梯)","住家用","0891009","180.20999999999998","3","2","2","有","有","24600000","136507","坡道機械","0",108.36,0,12.35,0
"7","板橋區","房地(土地+建物)","新北市板橋區華興街４６之１號","21.8","住","1070402","土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","","89.36","4","1","2","有","無","8600000","96240","","0",81.26,0,8.1,0
"8","土城區","房地(土地+建物)","新北市土城區延吉街２５３巷３８號六樓","25.81","住","1070411","土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","0830107","139.89","4","2","2","有","有","11500000","82207","","0",106.5,1.38,14.72,0
"9","板橋區","房地(土地+建物)","新北市板橋區幸福路３２巷３９號","32.67","住","1070418","土地1建物1車位0","一層","三層","公寓(5樓含以下無電梯)","住家用","","66.72","3","2","2","有","無","13650000","204586","","0",66.72,0,0,0
"10","五股區","房地(土地+建物)","新北市五股區凌雲路一段１４９巷１３號十六樓","18.27","住","1070408","土地1建物1車位0","十六層","十六層","住宅大樓(11層含以上有電梯)","住家用","0811130","101.49","3","1","1","有","有","6200000","61090","","0",82.12,0,11.48,0
"11","新莊區","房地(土地+建物)","新北市新莊區中港一街９８之３號","27.51","住","1070322","土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","0630613","75.7","2","2","1","有","無","8300000","109643","","0",75.7,0,0,0
"12","新莊區","房地(土地+建物)","新北市新莊區四維路２０６號四樓","12.22","住","1070416","土地1建物1車位0","四層","十二層","住宅大樓(11層含以上有電梯)","住家用","0840117","91.92","3","2","1","有","有","7200000","78329","","0",65.98,0,6.53,0
"13","泰山區","房地(土地+建物)","新北市泰山區楓江路２６巷１７號八樓","21.57","住","1070326","土地1建物1車位0","八層","十三層","住宅大樓(11層含以上有電梯)","住家用","0950119","129.58","4","2","1","有","有","11600000","89520","","0",79.3,0,10.88,0
"14","五股區","房地(土地+建物)","新北市五股區水碓路１６巷１０號八樓","13.14","住","1070327","土地1建物1車位0","八層","九層","華廈(10層含以下有電梯)","住家用","0840315","76.58","2","2","1","有","有","5000000","65291","","0",55.14,3.74,2.88,0
"15","泰山區","房地(土地+建物)+車位","新北市泰山區仁武街２３號七樓","17.78","商","1070328","土地1建物1車位1","七層","九層","華廈(10層含以下有電梯)","住家用","0921112","172.41","3","2","2","有","有","13000000","75402","升降平面","0",93.61,0,11.59,0
"16","新莊區","房地(土地+建物)","新北市新莊區萬安街１號三樓之六","15.21","住","1070402","土地1建物1車位0","三層","十四層","住宅大樓(11層含以上有電梯)","住家用","0970418","131.18","0","0","0","無","有","8000000","60985","","0",83.07,0,0,0
"17","新店區","房地(土地+建物)","新北市新店區華興街３號","23.8","住","1070308","土地1建物1車位0","一層","四層","公寓(5樓含以下無電梯)","住家用","0601118","61.09","3","2","1","有","無","3950000","64659","","0",61.09,0,0,0
"18","新店區","房地(土地+建物)","新北市新店區中央四街115號4樓","32.34","住","1070328","土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","0671202","83.48","3","2","2","有","無","9880000","118352","","0",83.48,0,0,0
"19","新店區","房地(土地+建物)","新北市新店區花園十路二段７－２０４號","28.11","住","1070412","土地5建物1車位0","二層","七層","華廈(10層含以下有電梯)","住家用","0701231","103.27","3","2","2","有","有","5508000","53336","","0",71.19,0,15.06,0
"20","深坑區","房地(土地+建物)+車位","新北市深坑區埔新街32號5樓","27.25","住","1070415","土地1建物1車位1","五層","十一層","住宅大樓(11層含以上有電梯)","住家用","0990811","154.63","3","2","2","有","有","14800000","95712","坡道平面","0",77.31,1.31,10.31,0
"21","新店區","房地(土地+建物)","新北市新店區安民街3巷21號7樓","25.97","住","1070408","土地3建物1車位0","七層","十六層","住宅大樓(11層含以上有電梯)","住家用","0871027","135.45999999999998","4","2","2","有","有","11000000","81205","","0",87.76,1.49,12.46,0
"22","汐止區","房地(土地+建物)","新北市汐止區大同路三段６１３號２７樓之４","3.91","住","1070408","土地1建物1車位0","二十七層","三十三層","住宅大樓(11層含以上有電梯)","住家用","0880203","41.99","1","1","1","有","有","2300000","54775","","0",28.81,0,2.79,0
"23","汐止區","房地(土地+建物)+車位","新北市汐止區中興路１７７之２號二樓","8.24","住","1070301","土地1建物1車位1","二層","十五層","住宅大樓(11層含以上有電梯)","住家用","1050420","79.65","1","1","1","有","有","8250000","116346","坡道平面","2150000",29.35,0,6.04,0
"24","汐止區","房地(土地+建物)+車位","新北市汐止區中興路１７３之３號","13.19","住","1070324","土地1建物1車位1","一層","十五層","住宅大樓(11層含以上有電梯)","住家用","1050420","108.57","2","1","1","有","有","13000000","128799","坡道平面","2150000",50.74,0,6.12,0
"25","汐止區","房地(土地+建物)+車位","新北市汐止區建成路５７巷７８號八樓","10.83","住","1070424","土地2建物1車位1","八層","十七層","住宅大樓(11層含以上有電梯)","住家用","0871113","116.28","4","2","2","有","有","10000000","85999","坡道平面","0",53.96,1.25,6.34,0
"26","汐止區","房地(土地+建物)+車位","新北市汐止區民族二街88號9樓","22.14","住","1070428","土地1建物1車位1","九層","十二層","住宅大樓(11層含以上有電梯)","住家用","0890901","174.18","3","2","2","有","有","14100000","80951","坡道平面","0",81.23,0,9.31,0
"27","汐止區","房地(土地+建物)","新北市汐止區樟樹二路２７０號６樓","19.28","住","1070210","土地1建物1車位0","六層","八層","華廈(10層含以下有電梯)","住家用","0880702","106.88","3","1","1","有","有","8080000","75599","","0",74.42,0,7.43,0
"28","汐止區","房地(土地+建物)","新北市汐止區鄉長路二段５號","106.0","","1070424","土地2建物1車位0","全","一層","透天厝","住家用","0770429","63.71","2","2","1","有","無","6000000","94177","","0",59.33,4.38,0,0
"29","汐止區","房地(土地+建物)+車位","新北市汐止區保長路93號十一樓","21.88","住","1070413","土地3建物1車位1","十一層","十五層","住宅大樓(11層含以上有電梯)","住家用","0990625","159.29","3","2","2","有","有","10000000","62779","坡道平面","0",76.18,5.25,6.31,0
"30","汐止區","房地(土地+建物)","新北市汐止區建成路５６巷６９弄１號十六樓之２","8.33","商","1070406","土地2建物1車位0","十六層","二十三層","住宅大樓(11層含以上有電梯)","住家用","0871128","83.78999999999999","2","2","1","有","有","7900000","94283","","0",55.57,0.72,6.36,0
"31","汐止區","房地(土地+建物)+車位","新北市汐止區伯爵街１４巷２０號１１樓","80.86","","1070315","土地3建物1車位1","十二層，十一層","十二層","住宅大樓(11層含以上有電梯)","住家用","0810521","312.65000000000003","5","3","3","有","有","17000000","54374","坡道平面","0",201.45,24.19,25.35,0
"32","汐止區","房地(土地+建物)+車位","新北市汐止區中興路１７９之２號六樓","19.78","住","1070303","土地1建物1車位2","六層","十五層","住宅大樓(11層含以上有電梯)","住家用","1050420","179.8","3","2","2","有","有","17120000","100741","坡道平面","4200000",68.25,8.56,9.75,0
"33","汐止區","房地(土地+建物)","新北市汐止區和平街４６巷６號２樓","45.0","住","1070331","土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","0860104","160.3","3","2","2","有","無","12000000","74860","","0",118.67,0.68,14.76,0
"34","淡水區","房地(土地+建物)+車位","新北市淡水區紅樹林路１5５號14樓","15.86","住","1070420","土地1建物1車位1","","二十三層","住宅大樓(11層含以上有電梯)","住家用","1060118","109.48","2","1","1","有","有","9750000","99091","坡道機械","700000",53.04,2,7.56,0
"35","淡水區","房地(土地+建物)+車位","新北市淡水區紅樹林路１5５號15樓","15.81","住","1070410","土地1建物1車位1","","二十三層","住宅大樓(11層含以上有電梯)","住家用","1060118","109.39","2","1","1","有","有","10200000","104669","坡道機械","650000",52.98,2,7.53,0
"36","淡水區","房地(土地+建物)+車位","新北市淡水區紅樹林路１６５號2樓","25.59","住","1070414","土地1建物1車位1","","二十一層","住宅大樓(11層含以上有電梯)","住家用","1060118","182.55","4","1","2","有","有","15080000","94906","坡道平面","1200000",90.5,2.44,7.27,0
"37","淡水區","房地(土地+建物)+車位","新北市淡水區紅樹林路１71號11樓","22.42","住","1070410","土地1建物1車位1","","二十一層","住宅大樓(11層含以上有電梯)","住家用","1060118","163.67","3","1","2","有","有","14020000","100652","坡道平面","1200000",74.79,5.63,6.79,0
"38","淡水區","房地(土地+建物)+車位","新北市淡水區紅樹林路１71號19樓","22.31","住","1070419","土地1建物1車位1","","二十一層","住宅大樓(11層含以上有電梯)","住家用","1060118","163.22000000000003","3","1","2","有","有","13800000","98093","坡道平面","1350000",74.54,5.63,6.76,0
"39","淡水區","房地(土地+建物)+車位","新北市淡水區新市五路三段256號六樓","7.87","商","1070331","土地1建物1車位1","","二十六層","住宅大樓(11層含以上有電梯)","住家用","1061229","104.1","2","1","1","有","有","5940000","57061","坡道機械","0",52.44,2.8,5.35,0
"40","淡水區","房地(土地+建物)+車位","新北市淡水區新市一路三段１５６巷７號十四樓","26.6","住","1070502","土地1建物1車位1","","十五層","住宅大樓(11層含以上有電梯)","住家用","1060906","167.31","3","2","2","有","有","11650000","73381","坡道平面","1500000",85.41,0,8.7,0
"41","淡水區","房地(土地+建物)+車位","新北市淡水區新市一路三段１５６巷５號十樓","23.82","住","1070502","土地1建物1車位1","","十五層","住宅大樓(11層含以上有電梯)","住家用","1060906","152.70999999999998","2","2","2","有","有","9800000","67491","坡道平面","1450000",73.71,0,10.48,0
"42","淡水區","房地(土地+建物)+車位","新北市淡水區新市二路一段１０６號五樓","13.67","住","1030705","土地1建物1車位1","","十三層","住宅大樓(11層含以上有電梯)","住家用","1061128","116.38","0","0","0","無","有","6580000","72338","坡道平面","900000",41.27,2.55,2.91,0
"43","淡水區","房地(土地+建物)","新北市淡水區淡金路二段３８３號四樓","9.85","住","1070430","土地1建物1車位0","","十五層","住宅大樓(11層含以上有電梯)","住家用","0980817","57.62","1","1","1","有","有","4000000","69420","","0",38.09,1.15,3.23,0
"44","淡水區","房地(土地+建物)+車位","新北市淡水區濱海路二段２０２巷６５弄５６號十二樓","21.57","住","1070504","土地1建物1車位1","","十五層","住宅大樓(11層含以上有電梯)","住家用","1051021","170.4","3","2","2","有","有","8180000","50137","坡道平面","1400000",80.77,0,12.15,0
"45","淡水區","房地(土地+建物)","新北市淡水區北新路１６９巷６７號二樓","19.21","住","1070410","土地1建物1車位0","","八層","華廈(10層含以下有電梯)","住家用","0830827","113.67","2","1","1","有","無","6000000","52784","","0",93.72,0,6.22,0
"46","淡水區","房地(土地+建物)+車位","新北市淡水區八勢路５０巷６號十三樓","85.8","住","1070310","土地1建物1車位2","","十四層","住宅大樓(11層含以上有電梯)","住家用","1051229","342.53","3","2","2","有","有","32700000","111742","坡道平面","3400000",140.98,11.25,20.68,0
"47","淡水區","房地(土地+建物)+車位","新北市淡水區紅樹林路56號三樓","28.69","住","1070414","土地1建物1車位1","","十一層","住宅大樓(11層含以上有電梯)","住家用","0991102","182.72","3","2","2","有","有","10700000","58560","坡道平面","0",88.56,2.72,14.57,0
"48","淡水區","房地(土地+建物)+車位","新北市淡水區濱海路三段１４８巷２１號六樓","36.27","住","1070417","土地1建物1車位1","","十一層","住宅大樓(11層含以上有電梯)","住家用","1030613","167.63","3","2","2","有","有","8930000","53272","坡道平面","0",82.76,8.38,5.69,0
"49","淡水區","房地(土地+建物)","新北市淡水區北新路169巷40號十一樓","12.56","住","1070325","土地2建物1車位0","十一層","十八層","住宅大樓(11層含以上有電梯)","住家用","0851228","81.97999999999999","2","1","1","有","有","4900000","59771","","0",54.92,0,6.16,0
"50","瑞芳區","房地(土地+建物)","新北市瑞芳區逢甲路２８２巷５弄１４號四樓","40.81","住","1070331","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0840425","129.4","4","2","2","有","有","2900000","22411","","0",89.28,1.76,13.82,0
"51","蘆洲區","房地(土地+建物)+車位","新北市蘆洲區永康街４０號二樓","16.29","住","1070313","土地1建物1車位1","二層","九層","華廈(10層含以下有電梯)","住家用","0930524","121.97","3","2","1","有","有","10800000","88546","坡道平面","0",56.28,0,13.15,0
"52","三重區","房地(土地+建物)","新北市三重區仁義街３９５號七樓","15.87","住","1070414","土地1建物1車位0","七層","十三層","住宅大樓(11層含以上有電梯)","住家用","0970422","88.17","2","2","1","有","有","10000000","113417","","0",52.61,2.73,3.56,0
"53","蘆洲區","房地(土地+建物)","新北市蘆洲區民族路３１４巷７號三樓","20.16","住","1061102","土地1建物1車位0","三層","九層","華廈(10層含以下有電梯)","住家用","0840804","109.66999999999999","3","2","2","有","有","10650000","97110","","0",80.94,0.92,9.96,0
