"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","左營區","房地(土地+建物)","重上街６０號二樓之１","7.11","商","1091201","土地1建物1車位0","二層","十四層","住宅大樓(11層含以上有電梯)","住家用","0940202","81.56","2","1","1","有","有","5100000","62531","","0","49.54","7.34","0.0","有"
"2","苓雅區","房地(土地+建物)","建國一路２巷８弄５號","22.79","住","1091101","土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","0740430","73.75","3","2","2","有","無","4700000","63729","","0","73.75","0.0","0.0","無"
"3","三民區","房地(土地+建物)","河北二路１００號十六樓之１１","3.45","商","1091102","土地1建物1車位0","十六層","十九層","住宅大樓(11層含以上有電梯)","住家用","0800314","39.269999999999996","1","0","1","有","有","1800000","45837","","0","27.82","4.39","0.0","有"
"4","三民區","房地(土地+建物)","懷安街１７５號七樓","10.45","住","1091102","土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","0800102","57.019999999999996","1","0","1","有","有","2380000","41740","","0","37.5","0.0","0.0","有"
"5","大寮區","房地(土地+建物)","大寮路７３８巷１６號","88.28","","1091103","土地1建物1車位0","全","四層","透天厝","住家用","1090422","187.58","5","2","3","有","無","11360000","60561","","0","164.88","0.0","22.7","無"
"6","楠梓區","房地(土地+建物)","加昌路７９號十樓之９","8.21","住","1091103","土地1建物1車位0","十層","十五層","住宅大樓(11層含以上有電梯)","住家用","1041112","88.0","2","1","1","有","有","5000000","56818","","0","50.75","7.5","0.0","有"
"7","三民區","房地(土地+建物)","民族一路１３號十樓之８","3.02","商","1091101","土地2建物1車位0","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","0710705","31.92","1","1","1","有","有","1400000","43860","","0","22.47","0.0","2.21","有"
"8","新興區","房地(土地+建物)","復興二路３５６號５樓之１","2.06","商","1091102","土地2建物1車位0","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","0870424","29.580000000000002","1","0","1","有","有","1200000","40568","","0","20.29","1.9","0.0","有"
"9","前金區","房地(土地+建物)","河南二路１６４號十七樓之１","10.92","住","1091104","土地2建物1車位0","十七層","二十層","住宅大樓(11層含以上有電梯)","住家用","0841219","116.45","3","2","2","有","有","4310000","37012","","0","81.06","8.47","0.0","有"
"10","苓雅區","房地(土地+建物)+車位","光華一路３２１號６樓之６","4.31","商","1091101","土地1建物1車位1","六層","十四層","住宅大樓(11層含以上有電梯)","住家用","0860709","49.18","2","1","1","有","有","3310000","67304","升降機械","0","28.06","0.54","0.0","有"
"11","苓雅區","房地(土地+建物)","武昌路７０巷２８弄７號","58.0","住","1091101","土地1建物1車位0","全","二層","透天厝","住家用","0600512","67.68","3","2","2","有","無","5800000","85697","","0","67.68","0.0","0.0","無"
"12","前鎮區","房地(土地+建物)","新光路２１號十五樓之６","1.28","商","1091102","土地2建物1車位0","十五層","三十九層","住宅大樓(11層含以上有電梯)","住家用","0880209","41.25","1","0","1","有","有","2260000","54788","","0","25.02","3.24","0.0","有"
"13","左營區","房地(土地+建物)","博愛四路１６０號十三樓之２","9.05","住","1091103","土地1建物1車位0","十三層","十五層","住宅大樓(11層含以上有電梯)","住家用","0951124","81.8","2","2","1","有","有","5200000","63570","","0","52.84","3.98","0.0","有"
"14","仁武區","房地(土地+建物)","高楠五街８０號三樓","28.29","住","1091105","土地4建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0701220","87.18","3","2","2","有","無","1600000","18353","","0","87.18","0.0","0.0","無"
"15","林園區","房地(土地+建物)","後厝路２１０之２３號","85.0","住","1091107","土地1建物1車位0","全","四層","透天厝","住家用","0830303","272.57","6","1","3","有","無","4100000","15042","","0","238.81","5.4","28.36","無"
"16","左營區","房地(土地+建物)+車位","重愛路３５號四樓之２","11.68","住","1091103","土地1建物1車位1","四層","二十層","住宅大樓(11層含以上有電梯)","住家用","0850921","142.5","4","2","2","有","有","6450000","45263","坡道平面","0","80.96","12.57","0.0","有"
"17","苓雅區","房地(土地+建物)+車位","憲政路１３０號十二樓之３","42.58","住","1091101","土地1建物1車位2","十二層","十四層","住宅大樓(11層含以上有電梯)","住家用","1090818","224.49","3","2","2","有","有","15700000","69936","坡道平面","0","76.2","15.5","0.0","有"
"18","新興區","房地(土地+建物)","南海街２０號２樓之３","7.61","都市：其他:第二種特定商業專用區","1091103","土地1建物1車位0","二層","五層","華廈(10層含以下有電梯)","住家用","0790502","38.370000000000005","1","1","1","有","無","1450000","37790","","0","29.12","0.0","0.0","有"
"19","前鎮區","房地(土地+建物)","中華五路９６９巷２弄３號十樓之４","30.94","住","1091105","土地1建物1車位0","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","0830809","138.69","3","2","2","有","有","2195274","15827","","0","88.76","5.26","0.0","有"
"20","彌陀區","房地(土地+建物)","中正路２８１巷３８弄３２號","97.47","住","1091103","土地2建物1車位0","全","三層","透天厝","住家用","1090709","170.69","5","2","3","有","無","8320000","48743","","0","157.13","13.56","0.0","無"
"21","彌陀區","房地(土地+建物)","中正路２８１巷３８弄３６號","103.55","住","1091103","土地2建物1車位0","全","三層","透天厝","住家用","1090709","173.78","5","2","3","有","無","8300000","47762","","0","160.06","13.72","0.0","無"
"22","左營區","房地(土地+建物)+車位","緯六路１８５號十四樓之２","33.94","住","1091104","土地1建物1車位1","十四層","十四層","住宅大樓(11層含以上有電梯)","住家用","0991126","173.08999999999997","3","2","2","有","有","2200000","12710","坡道平面","0","94.86","8.49","0.0","有"
"23","鳥松區","房地(土地+建物)","大埤路２９之１０５號五樓","13.86","都市：其他:遊樂商業中心","1091105","土地2建物1車位0","五層","十二層","住宅大樓(11層含以上有電梯)","住家用","0700116","43.59","1","1","1","有","有","1400000","32117","","0","28.35","5.25","0.0","有"
