"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","鹽埕區","房地(土地+建物)+車位","高雄市鹽埕區七賢三路１號三樓之１２","17.46","住","1010710","土地1建物1車位1","三層","十五層","住宅大樓(11層含以上有電梯)","住家用","0960103","168.87","4","2","2","有","有","9000000","53294","坡道平面","0",0,0,0,0
"2","新興區","房地(土地+建物)+車位","高雄市新興區球庭路６８號九樓之２","8.92","商","1010808","土地1建物1車位1","九層","十四層","住宅大樓(11層含以上有電梯)","住家用","1010509","96.69","0","0","0","無","有","6180000","65236","坡道機械","980000",45.28,0,5.31,0
"3","新興區","房地(土地+建物)+車位","高雄市新興區球庭路６８號十樓之２","8.9","商","1010808","土地1建物1車位1","十層","十四層","住宅大樓(11層含以上有電梯)","住家用","1010509","96.35","0","0","0","無","有","6580000","70556","坡道機械","980000",45.28,0,5.1,0
"4","新興區","房地(土地+建物)+車位","高雄市新興區球庭路６８號七樓之２","8.92","商","1010808","土地1建物1車位1","七層","十四層","住宅大樓(11層含以上有電梯)","住家用","1010509","96.69","0","0","0","無","有","5980000","62727","坡道機械","980000",45.28,0,5.31,0
"5","鳳山區","房地(土地+建物)","高雄市鳳山區鳳山區四海街84之3號","23.97","住","1010726","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0700415","47.77","2","1","1","有","有","1300000","27214","","0",47.77,0,0,0
"6","仁武區","房地(土地+建物)","高雄市仁武區竹後村市場巷17號","60.0","住","1010726","土地1建物1車位0","全","二層","透天厝","住家用","0660320","68.86","2","1","2","有","無","1100000","15974","","0",68.86,0,0,0
"7","大社區","房地(土地+建物)","高雄市大社區翠屏路90-1號4f","19.29","住","1010715","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0780620","65.34","3","2","2","有","無","1650000","25253","","0",0,0,0,0
"8","鳳山區","房地(土地+建物)","高雄市鳳山區文學街7號9樓","30.56","住","1010614","土地1建物1車位0","九層","十三層","住宅大樓(11層含以上有電梯)","住家用","0790820","132.04","4","2","2","有","有","4500000","34081","","0",118.23,0.63,13.18,0
"9","楠梓區","房地(土地+建物)","高雄市楠梓區德信街105巷16號二樓","10.8","住","1010709","土地1建物1車位0","二層","十五層","住宅大樓(11層含以上有電梯)","住家用","0840223","74.72","2","1","1","有","有","1400000","18737","","0",50.23,0,7.56,0
"10","岡山區","房地(土地+建物)","高雄市岡山區筧橋路18號12樓-1","36.63","住","1010529","土地1建物1車位0","十二層","十二層","住宅大樓(11層含以上有電梯)","住家用","0950512","102.99","3","2","2","有","有","3100000","30100","","0",0,0,0,0
"11","鳥松區","房地(土地+建物)+車位","高雄市鳥松區澄湖路２０８巷３號十四樓之１","20.22","住","1010627","土地1建物1車位1","十四層","二十三層","住宅大樓(11層含以上有電梯)","住家用","0860113","182.9","3","2","2","有","有","5460000","29852","坡道平面","0",93.55,0,17.54,0
"12","大寮區","房地(土地+建物)","高雄市大寮區成功路１１６巷２３號十七樓","18.23","住","1010627","土地1建物1車位0","十七層","十七層","住宅大樓(11層含以上有電梯)","住家用","0830621","151.21","4","2","2","有","有","1850000","12234","","0",102.57,1.35,18.19,0
"13","大寮區","房地(土地+建物)+車位","高雄市大寮區內坑路１０８之４８號十樓之３","25.99","住","1010723","土地1建物1車位1","十層","十一層","住宅大樓(11層含以上有電梯)","住家用","0840703","131.70999999999998","3","2","1","有","有","1000000","7592","坡道平面","0",79.46,0,10.39,0
"14","鳳山區","房地(土地+建物)","高雄市鳳山區同明街３５巷４之４號","19.47","住","1010720","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0681018","59.82","3","1","2","有","無","700000","11702","","0",59.82,0,0,0
