"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","鼓山區","房地(土地+建物)+車位","高雄市鼓山區華泰路３０７號四樓","25.31","住","1070727","土地1建物1車位1","四層","十四層","住宅大樓(11層含以上有電梯)","住家用","0800322","215.48000000000002","4","2","2","有","有","7700000","35734","坡道平面","0",108.09,40.1,19.58,0
"2","前鎮區","房地(土地+建物)","高雄市前鎮區中山二路１９２號二樓","5.41","商","1070720","土地1建物1車位0","二層","十五層","住宅大樓(11層含以上有電梯)","住家用","1000125","72.33","1","1","1","有","有","5500000","76040","","0",39.06,1.92,6.03,0
"3","三民區","房地(土地+建物)","高雄市三民區堅如路１３號","145.0","住","1070625","土地1建物1車位0","全","五層","透天厝","住家用","1061127","440.14","5","2","6","有","無","34680000","78793","","0",404.88,0,35.26,0
"4","三民區","房地(土地+建物)+車位","高雄市三民區大福街２６３號十樓之１","24.05","住","1070705","土地1建物1車位1","十層","十四層","住宅大樓(11層含以上有電梯)","住家用","0820811","145.45","4","2","2","有","有","5200000","35751","坡道平面","0",93.53,3.79,7.75,0
"5","三民區","房地(土地+建物)","高雄市三民區建國一路４０２巷８弄４之２號","47.47","住","1070726","土地2建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","0580515","110.63","3","2","2","有","無","3060000","27660","","0",110.63,0,0,0
"6","三民區","房地(土地+建物)","高雄市三民區民族一路７０２之２號十七樓之４","9.02","住","1070723","土地1建物1車位0","十七層，電梯樓梯間","二十三層","住宅大樓(11層含以上有電梯)","住家用","0840906","107.11","3","2","2","有","有","4350000","40612","","0",84.45,0,12.89,0
"7","三民區","房地(土地+建物)","高雄市三民區裕誠路６２之２號四樓","12.39","住","1070512","土地1建物1車位0","四層","十四層","住宅大樓(11層含以上有電梯)","住家用","0860709","119.22","3","2","1","有","有","4660000","39087","","0",81.73,0,7.99,0
"8","三民區","房地(土地+建物)","高雄市三民區大昌二路２６８號十三樓之１０","3.62","商","1070724","土地1建物1車位0","十三層","十四層","住宅大樓(11層含以上有電梯)","住家用","0880731","44.78","1","1","1","有","無","1800000","40197","","0",28.19,0,4.61,0
"9","三民區","房地(土地+建物)","高雄市三民區大昌二路１００之９號八樓","10.4","住","1070716","土地1建物1車位0","八層","十五層","住宅大樓(11層含以上有電梯)","住家用","0940613","120.25","3","2","2","有","有","5900000","49064","","0",66.56,2.18,11.41,0
"10","三民區","房地(土地+建物)+車位","高雄市三民區淵源街５號十四樓之２","16.66","商","1070703","土地2建物1車位1","十四層，電梯樓梯間","十四層","住宅大樓(11層含以上有電梯)","住家用","0841229","159.47","4","2","2","有","有","7600000","47658","坡道平面","0",108.03,1.25,12.62,0
"11","三民區","房地(土地+建物)+車位","高雄市三民區大順二路６４９號十二樓之１","5.63","住","1070726","土地1建物1車位1","十二層，電梯樓梯間","十八層","住宅大樓(11層含以上有電梯)","住家用","0850325","62.8","3","2","2","有","有","2550000","40605","坡道平面","0",41.36,0,4.37,0
"12","左營區","房地(土地+建物)+車位","高雄市左營區新莊一路２８０號五樓之１","12.67","住","1070720","土地1建物1車位1","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","0950505","118.22","3","2","2","有","有","7180000","60734","坡道機械","0",68.58,0.64,8.77,0
"13","楠梓區","房地(土地+建物)","高雄市楠梓區加仁路２１６號","227.49","住","1070706","土地5建物1車位0","全","四層","透天厝","住家用","0991217","412.0","6","2","6","有","無","28000000","67961","","0",370.09,0,41.91,0
"14","楠梓區","房地(土地+建物)","高雄市楠梓區德賢路２２０巷８７弄１０號七樓","20.99","住","1070801","土地1建物1車位0","七層","八層","華廈(10層含以下有電梯)","住家用","0860529","129.18","3","2","2","有","有","4350000","33674","","0",87.61,1.07,11.48,0
"15","左營區","房地(土地+建物)","高雄市左營區太華街２１５號六樓","17.71","住","1070719","土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","0811017","96.95","3","2","2","有","有","4120000","42496","","0",59.55,0,15.95,0
"16","楠梓區","房地(土地+建物)","高雄市楠梓區安民街２２６號","65.67","住","1070615","土地1建物1車位0","全","四層","透天厝","住家用","0930813","157.64","4","2","2","有","無","7500000","47577","","0",131.89,0,25.75,0
"17","楠梓區","房地(土地+建物)+車位","高雄市楠梓區興楠路１５１巷４６號六樓之１","30.17","住","1070723","土地1建物1車位1","六層","七層","華廈(10層含以下有電梯)","住家用","0891215","150.37","3","2","2","有","無","4180000","27798","坡道平面","0",115.62,0,7.99,0
"18","岡山區","房地(土地+建物)","高雄市岡山區公園西路１６號九樓","19.34","住","1070731","土地1建物1車位0","九層","十三層","住宅大樓(11層含以上有電梯)","住家用","0830410","153.81","4","2","2","有","無","5100000","33158","","0",100.09,0.88,10.61,0
"19","岡山區","房地(土地+建物)","高雄市岡山區大勇街８號三樓之２","15.84","住","1070719","土地1建物1車位0","三層","八層","華廈(10層含以下有電梯)","住家用","0810120","95.08","3","2","2","有","無","2300000","24190","","0",68.89,0,1.25,0
