"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","板橋區","房地(土地+建物)","新北市板橋區富山街１３巷５號","30.58","住","1020325","土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","0760813","121.0","3","2","1","有","無","14000000","115702","","0",99.35,7.84,0,0
"2","板橋區","房地(土地+建物)+車位","新北市板橋區文化路一段３６８號二十二樓之９","4.95","住","1020401","土地1建物1車位1","二十二層","四十三層","住宅大樓(11層含以上有電梯)","住家用","0990715","110.69","2","1","2","有","有","20000000","180685","坡道平面","0",49.55,0,10,0
"3","土城區","房地(土地+建物)","新北市土城區延吉街329之1號3樓","7.12","其他","1020423","土地1建物1車位0","三層","十七層","住宅大樓(11層含以上有電梯)","住家用","0841109","98.36","3","2","1","有","有","9500000","96584","","0",58.22,23.22,5.21,0
"4","板橋區","房地(土地+建物)","新北市板橋區南雅南路二段１４２巷１號五樓之二","32.42","住","1020403","土地3建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","","107.84","3","2","2","有","有","11500000","106639","","0",79.93,2.59,8.11,0
"5","板橋區","房地(土地+建物)","新北市板橋區四川路一段５０號５樓","7.8","商","1020409","土地1建物1車位0","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","1020108","97.44","2","1","1","有","有","16000000","164204","","0",58.06,2.59,8.59,0
"6","板橋區","房地(土地+建物)","新北市板橋區文化路二段４１０巷２５之４號","28.0","住","1020208","土地2建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0670912","87.3","3","3","3","有","無","13800000","158076","","0",76.79,0,10.51,0
"7","板橋區","房地(土地+建物)+車位","新北市板橋區四維路２４９號三樓","29.08","住","1020411","土地1建物1車位1","三層","十四層","住宅大樓(11層含以上有電梯)","住家用","","214.42","4","2","2","有","有","25000000","116594","坡道平面","0",151.12,0,21.23,0
"8","板橋區","房地(土地+建物)+車位","新北市板橋區民生路一段28之9號24樓","12.14","住","1020412","土地1建物1車位1","二十四層","二十六層","住宅大樓(11層含以上有電梯)","住家用","0900802","184.51","3","2","2","有","有","26800000","145250","坡道機械","0",115.35,0,14.65,0
"9","板橋區","房地(土地+建物)","新北市板橋區漢生東路240號14樓","5.04","其他","1020329","土地1建物1車位0","十四層","二十九層","住宅大樓(11層含以上有電梯)","住家用","0980724","77.44","2","2","1","有","有","17580000","227014","","0",43.89,1.19,7.19,0
"10","土城區","房地(土地+建物)","新北市土城區清水路２７８巷１８號三樓","17.91","住","1020308","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0730720","74.59","2","1","1","有","無","5500000","73736","","0",65.66,0,8.93,0
"11","土城區","房地(土地+建物)","新北市土城區中央路四段279巷24號4樓","17.24","住","1020410","土地1建物1車位0","四層","十五層","住宅大樓(11層含以上有電梯)","住家用","0950817","137.44","3","2","2","有","有","9600000","69849","","0",89.82,3.13,9.33,0
"12","板橋區","房地(土地+建物)","新北市板橋區大觀路二段３３９之１號","20.1","住","1020318","土地1建物1車位0","二層","四層","公寓(5樓含以下無電梯)","住家用","","56.6","2","1","1","有","無","3300000","58304","","0",56.6,0,0,0
"13","土城區","房地(土地+建物)+車位","新北市土城區學士路３３巷２７號五樓","24.35","住","1020325","土地1建物1車位1","五層","十五層","住宅大樓(11層含以上有電梯)","住家用","0841223","174.1","3","1","2","有","有","11000000","63182","坡道平面","0",100.8,2.25,17.5,0
"14","板橋區","房地(土地+建物)","新北市板橋區永安里萬板路118號二樓","33.0","住","1020328","土地2建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","0680720","94.99","3","2","1","有","無","10700000","112643","","0",79.85,0,15.14,0
"15","板橋區","房地(土地+建物)","新北市板橋區府中路１２６號五樓之一","12.88","商","1020410","土地1建物1車位0","五層","十七層","住宅大樓(11層含以上有電梯)","住家用","0840617","153.43","3","2","2","有","有","17230000","112299","","0",83.78,0,11.68,0
"16","板橋區","房地(土地+建物)","新北市板橋區民生路一段１０３號四樓","10.3","住","1020312","土地1建物1車位0","四層，陽台","五層","公寓(5樓含以下無電梯)","住家用","0690802","39.52","2","2","1","有","無","3400000","86032","","0",39.53,0,0,0
"17","板橋區","房地(土地+建物)","新北市板橋區成都街７１巷１０之４號","22.6","商","1020401","土地1建物1車位0","五層，陽台","五層","公寓(5樓含以下無電梯)","住家用","0690828","83.95","3","2","1","有","無","9500000","113163","","0",83.95,0,0,0
"18","土城區","房地(土地+建物)","新北市土城區學成路１０８巷１０號三樓","25.5","住","1020409","土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","0730711","82.5","2","2","1","有","無","7600000","92121","","0",72.83,0,9.67,0
"19","板橋區","房地(土地+建物)","新北市板橋區松柏街５０巷３５號","37.25","住","1020410","土地1建物1車位0","一層，騎樓","四層","公寓(5樓含以下無電梯)","住家用","","105.29","0","0","0","無","無","15500000","147212","","0",105.29,0,0,0
"20","土城區","房地(土地+建物)","新北市土城區學成路８６巷１０號三樓","29.37","住","1020223","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0760110","106.77","3","2","2","有","無","9700000","90849","","0",98.07,0.55,8.15,0
