"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","汐止區","車位","新北市汐止區大同路二段２６５號１４樓之５等公共設施","0.0","住","1110906","土地1建物1車位1","十四層","二十四層","其他","住家用","0840126","2.73","0","0","0","有","有","350000","","其他","350000",0,0,0,"有"
"2","汐止區","車位","新北市汐止區大同路二段２６５號１４樓之５等公共設施","0.0","住","1110906","土地1建物1車位1","十四層","二十四層","其他","住家用","0840126","2.73","0","0","0","有","有","350000","","其他","350000",0,0,0,"有"
"3","三芝區","房地(土地+建物)","新北市三芝區淺水灣街９之１３號六樓","33.06","","1110905","土地2建物2車位0","六層","十一層","住宅大樓(11層含以上有電梯)","住家用","0860611","87.35","2","1","2","有","有","3650000","41786","","0",55.66,0,8.1,"有"
"4","三峽區","房地(土地+建物)+車位","新北市三峽區中正路一段５００號","42.66","","1110903","土地1建物1車位1","一層","四層","公寓(5樓含以下無電梯)","住家用","0831116","109.58999999999999","2","2","2","有","無","7110000","64878","一樓平面","0",84.39,18.43,0,"無"
"5","金山區","房地(土地+建物)","新北市金山區中山路２６３巷９號３樓","25.6","商","1110901","土地3建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","0691227","72.0","3","2","1","有","無","1800000","25000","","0",64.08,0,7.92,"無"
"6","林口區","房地(土地+建物)+車位","新北市林口區民權路１８號十樓","13.54","住","1110901","土地1建物1車位1","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","0960116","109.37","2","2","1","有","有","5600000","51202","坡道平面","0",49.9,1.06,6.74,"有"
"7","三重區","房地(土地+建物)","新北市三重區國道路一段５１號五樓","0.27","住","1110901","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0750620","1.09","3","1","1","有","無","80000","73394","","0",0,0,0,"無"
"8","新莊區","房地(土地+建物)","新北市新莊區西盛街１５３巷２２號四樓","9.66","住","1110905","土地1建物1車位0","四層","十六層","住宅大樓(11層含以上有電梯)","住家用","0811022","68.23","2","2","1","有","有","8060000","118130","","0",51.5,0.43,6.14,"有"
"9","淡水區","房地(土地+建物)","新北市淡水區中正東路二段１２５號二樓之１","13.45","住","1110905","土地1建物1車位0","二層","二十一層","住宅大樓(11層含以上有電梯)","住家用","0900302","79.97","2","1","1","有","有","8300000","103789","","0",49.87,0,7.08,"有"
"10","蘆洲區","房地(土地+建物)","新北市蘆洲區長安街１０８巷２８號十樓之四","12.24","住","1110901","土地1建物1車位0","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","0811012","61.47","1","1","1","有","有","7200000","117130","","0",34.54,0,7.07,"有"
"11","板橋區","房地(土地+建物)","新北市板橋區民權路２０２巷７弄１９號","35.67","住","1110901","土地1建物1車位0","一層","三層","公寓(5樓含以下無電梯)","住家用","0620407","66.6","3","1","1","有","無","12000000","180180","","0",66.6,0,0,"無"
"12","淡水區","房地(土地+建物)+車位","新北市淡水區淡金路６號十三樓之３","31.73","商","1110901","土地1建物1車位1","十三層","二十層","住宅大樓(11層含以上有電梯)","住家用","0960827","231.02","4","2","2","有","有","20000000","86573","坡道平面","0",119.08,0.98,12.87,"有"
