"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","板橋區","房地(土地+建物)","新北市板橋區僑中一街１２４巷１１弄６之４號","21.95","住","1080411","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","","79.32","2","2","1","有","無","5200000","65557","","0",65.08,0,14.24,0
"2","土城區","房地(土地+建物)","新北市土城區中央路三段２８１巷１１弄２號九樓","10.3","住","1080427","土地1建物1車位0","九層","十二層","住宅大樓(11層含以上有電梯)","住家用","0860813","72.62","2","2","1","有","有","5380000","74084","","0",47.31,0,9.07,0
"3","板橋區","房地(土地+建物)","新北市板橋區大同街２６巷３９號","28.0","住","1080407","土地1建物1車位0","一層，平台","四層","公寓(5樓含以下無電梯)","住家用","","86.33","3","2","2","有","無","14300000","165643","","0",86.33,0,0,0
"4","板橋區","房地(土地+建物)","新北市板橋區雙十路二段87號18樓之2","13.33","住","1080418","土地1建物1車位0","十八層","二十三層","住宅大樓(11層含以上有電梯)","住家用","0871111","129.3","4","2","2","有","有","22800000","176334","","0",102.34,0.63,12.19,0
"5","板橋區","房地(土地+建物)","新北市板橋區懷德街１２７巷２３弄１之３號","33.0","住","1080304","土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","","73.86","3","2","1","有","無","8000000","108313","","0",73.86,0,0,0
"6","土城區","房地(土地+建物)","新北市土城區延和路250巷9號十九樓","8.65","住","1080331","土地1建物1車位0","十九層","二十二層","住宅大樓(11層含以上有電梯)","住家用","0851116","106.44","3","2","2","有","有","10530000","98929","","0",68.08,0.95,10.78,0
"7","板橋區","房地(土地+建物)+車位","新北市板橋區龍泉街108巷120號2樓","18.82","住","1080324","土地1建物1車位1","二層","十三層","住宅大樓(11層含以上有電梯)","住家用","0900214","148.93","3","2","2","有","有","14700000","98704","坡道平面","0",75.54,0,10.28,0
"8","土城區","房地(土地+建物)","新北市土城區學府路一段９８巷２弄９號十一樓","11.83","住","1080404","土地1建物1車位0","十一層","十三層","住宅大樓(11層含以上有電梯)","住家用","0821122","85.92","3","2","2","有","有","9580000","111499","","0",61.16,2.15,8.7,0
"9","板橋區","房地(土地+建物)","新北市板橋區文化路一段１０４巷１０之３號","28.25","住","1080319","土地1建物1車位0","四層，陽台","四層","公寓(5樓含以下無電梯)","住家用","","96.42","5","2","2","有","無","12500000","129641","","0",96.42,0,0,0
"10","土城區","房地(土地+建物)","新北市土城區永安街１１５巷３４號三樓","22.1","住","1080319","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0701119","88.48","3","2","1","有","無","6080000","68716","","0",72.54,0,15.94,0
"11","土城區","房地(土地+建物)","新北市土城區金城路三段２０７巷２弄８號三樓","35.93","住","1080415","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0711110","96.0","3","2","1","有","無","7550000","78646","","0",86.25,0,9.75,0
"12","板橋區","房地(土地+建物)","新北市板橋區懷德街１９１巷８號三樓","21.25","住","1080422","土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","","57.1","3","1","1","有","無","7000000","122592","","0",57.1,0,0,0
"13","林口區","房地(土地+建物)+車位","新北市林口區民族路１８９號七樓","29.26","商","1080323","土地1建物1車位1","七層","十一層","住宅大樓(11層含以上有電梯)","住家用","0980525","196.14","4","2","2","有","有","15150000","77241","坡道平面","0",106.48,4.27,9.94,0
"14","林口區","房地(土地+建物)+車位","新北市林口區民權路２００號十一樓","19.47","住","1080320","土地1建物1車位1","十一層","十二層","住宅大樓(11層含以上有電梯)","住家用","0970819","151.06","3","2","2","有","有","10100000","66861","坡道平面","0",77.03,7.84,3.09,0
"15","新莊區","房地(土地+建物)","新北市新莊區中原路２５３巷１弄１號三樓","30.4","住","1080311","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0760227","105.53","3","2","2","有","無","7880000","74671","","0",96.19,0,9.34,0
"16","五股區","房地(土地+建物)","新北市五股區自強路１１７號四樓","20.2","住","1080409","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0730924","87.4","3","2","1","有","無","3900000","44622","","0",83.38,0,4.02,0
"17","林口區","房地(土地+建物)+車位","新北市林口區文化二路一段３６４號九樓之三","14.43","住","1080411","土地1建物1車位1","九層","十一層","住宅大樓(11層含以上有電梯)","住家用","0840705","91.66","2","1","1","有","有","6670000","72769","坡道平面","0",49.24,2.04,7.03,0
"18","林口區","房地(土地+建物)+車位","新北市林口區文化三路一段４４７巷３３號七樓","19.73","住","1080402","土地1建物1車位1","七層","十三層","住宅大樓(11層含以上有電梯)","住家用","0961023","154.87","3","2","2","有","有","11000000","71027","坡道平面","0",80.31,6.43,5.08,0
"19","泰山區","房地(土地+建物)","新北市泰山區貴子路６７巷７弄５號","69.58","住","1080416","土地1建物1車位0","全","二層","透天厝","住家用","0580913","80.0","8","0","8","有","無","12300000","153750","","0",80,0,0,0
"20","新莊區","房地(土地+建物)","新北市新莊區富國路１７６巷７號二樓之三","3.83","商","1080411","土地1建物1車位0","二層","十二層","住宅大樓(11層含以上有電梯)","住家用","0821207","39.76","1","0","1","有","有","3600000","90543","","0",25.57,0,3.15,0
"21","新莊區","房地(土地+建物)","新北市新莊區思源路４２１號二十一樓之一","7.14","住","1080321","土地1建物1車位0","二十一層","二十一層","住宅大樓(11層含以上有電梯)","住家用","0870825","81.2","2","2","1","有","有","8400000","103448","","0",52.66,0,8.92,0
"22","泰山區","房地(土地+建物)","新北市泰山區明志路二段２３１號四樓","13.22","商","1080410","土地1建物1車位0","四層","十六層","住宅大樓(11層含以上有電梯)","住家用","0840411","123.09","4","2","2","有","有","8550000","69461","","0",85.12,0.84,11.48,0
"23","新莊區","房地(土地+建物)+車位","新北市新莊區復興路一段１２７巷４號八樓","30.35","住","1080325","土地1建物1車位1","八層","十五層","住宅大樓(11層含以上有電梯)","住家用","0810520","210.92000000000002","4","2","2","有","有","17200000","81548","坡道平面","0",111.49,1.94,14.75,0
"24","林口區","房地(土地+建物)+車位","新北市林口區仁愛路一段６６３號","63.65","住","1080201","土地1建物1車位1","一層，二層","七層","店面(店鋪)","住家用","0960623","143.69","0","0","0","無","有","12000000","83513","坡道平面","0",81.5,0,7.39,0
"25","泰山區","房地(土地+建物)","新北市泰山區仁義路１６５號十二樓","11.88","商","1080330","土地1建物1車位0","十二層","十三層","住宅大樓(11層含以上有電梯)","住家用","0950605","111.13","3","2","2","有","有","10660000","95924","","0",70.75,1.3,10.06,0
"26","林口區","房地(土地+建物)+車位","新北市林口區文化二路一段１５０號十一樓","21.35","住","1080420","土地1建物1車位1","十一層","十一層","住宅大樓(11層含以上有電梯)","住家用","0940603","135.13","2","2","1","有","有","9680000","71635","坡道平面","0",62.55,0.93,9.11,0
"27","新店區","房地(土地+建物)+車位","新北市新店區中正路４８７之２號五樓","9.99","商","1080416","土地2建物1車位1","五層","十四層","住宅大樓(11層含以上有電梯)","住家用","0880406","151.68","3","2","2","有","有","18000000","118671","坡道平面","0",67.53,1.42,12.79,0
"28","新店區","房地(土地+建物)","新北市新店區中興路3段251號4樓","35.64","住","1080331","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0680905","100.36","3","2","2","有","無","12200000","121562","","0",100.36,0,0,0
