"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","北區","房地(土地+建物)+車位","台南市北區中華北路一段１０５巷５０號六樓之６","27.52","住","1011023","土地1建物1車位1","六層","八層","華廈(10層含以下有電梯)","住家用","0831013","134.85999999999999","3","2","2","有","有","2500000","18537","坡道平面","0",82.26,0,7.37,0
"2","安平區","房地(土地+建物)","台南市安平區國平路５９９號十三樓之１０","4.61","住","1011018","土地1建物1車位0","十三層","二十一層","住宅大樓(11層含以上有電梯)","住家用","0831222","52.57","1","1","1","有","有","775000","14742","","0",35.72,0,4.97,0
"3","北區","房地(土地+建物)+車位","台南市北區北園街６號十九樓之１","13.53","住","1010906","土地1建物1車位1","十九層","十九層","住宅大樓(11層含以上有電梯)","住家用","0851202","181.81","4","2","2","有","有","4600000","25301","坡道平面","0",101.49,14.15,0,0
"4","北區","房地(土地+建物)","台南市北區長榮路五段９８號","32.0","住","1011009","土地1建物1車位0","一層，二層，騎樓","二層","店面(店鋪)","住家用","0610312","64.6","3","0","0","有","無","2800000","43344","","0",64.6,0,0,0
"5","北區","房地(土地+建物)","台南市北區和順里民德路107之4號","38.06","其他","1011024","土地3建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0701223","111.56","3","2","2","有","無","1300000","11653","","0",91.11,0,5.66,0
"6","中西區","房地(土地+建物)+車位","台南市中西區民族路二段１０７號十三樓之９","14.27","商","1011025","土地3建物1車位1","十三層","十三層","住宅大樓(11層含以上有電梯)","住家用","0831019","153.04","3","1","2","有","有","3770000","24634","坡道平面","0",85.62,1.46,9.99,0
"7","安南區","房地(土地+建物)","台南市安南區海東六街４０號","117.48","住","1010917","土地1建物1車位0","全","三層","透天厝","住家用","1010615","201.96","6","2","4","有","無","8150000","40355","","0",201.96,0,0,0
"8","安南區","房地(土地+建物)","台南市安南區北安二街82號","168.75","住","1010709","土地1建物1車位0","全","四層","透天厝","住家用","1000516","188.96","4","1","2","有","有","10380000","54932","","0",158.11,8.55,22.3,0
"9","安南區","房地(土地+建物)","台南市安南區安中二街112號","100.63","住","1010909","土地1建物1車位0","全","四層","透天厝","住家用","1010110","167.08","4","2","3","有","有","7790000","46624","","0",151,6.79,9.29,0
"10","東區","房地(土地+建物)+車位","台南市東區崇明路117號十樓之1","16.09","住","1011011","土地1建物1車位1","十層","十六層","住宅大樓(11層含以上有電梯)","住家用","0850203","167.26","4","2","2","有","有","4300000","25708","坡道機械","0",103.25,0,13.31,0
"11","東區","房地(土地+建物)+車位","台南市東區崇善里崇善五街18號3樓之1","13.36","住","1011018","土地1建物1車位1","三層","八層","華廈(10層含以下有電梯)","住家用","0831206","98.2","2","0","1","有","有","3200000","32587","坡道平面","0",55.81,0,6.8,0
"12","南區","房地(土地+建物)","台南市南區明興路1087巷7弄19號","84.1","住","1011019","土地1建物1車位0","全","三層","透天厝","住家用","0840522","167.76","6","2","5","有","無","3600000","21459","","0",158.33,0,9.43,0
"13","東區","房地(土地+建物)+車位","台南市東區裕農路６６８巷５４號五樓","23.5","住","1011018","土地2建物1車位1","五層","六層","華廈(10層含以下有電梯)","住家用","0810514","104.81","3","2","2","有","有","2600000","24807","坡道機械","0",70.2,0,7.9,0
"14","東區","房地(土地+建物)","台南市東區東寧路５４０號四樓之２、東寧路５４２號七樓之２","12.94","住","1011024","土地2建物2車位0","四層","七層","套房(1房1廳1衛)","住家用","0780425","37.22","2","2","2","有","有","1470000","39495","","0",37.22,0,0,0
"15","東區","房地(土地+建物)+車位","台南市東區仁東街２３號三樓之５","13.69","住","1011009","土地1建物1車位1","三層","十四層","住宅大樓(11層含以上有電梯)","住家用","0871218","92.81","2","2","1","有","有","2550000","27476","坡道平面","0",59.28,0,8.19,0
"16","南區","房地(土地+建物)","台南市東區國民路１６５巷３５弄１８號","98.58","住","1011017","土地1建物1車位0","全","二層","透天厝","住家用","0740806","125.51","4","2","2","有","無","4560000","36332","","0",120.99,0,4.52,0
