"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","南區","房地(土地+建物)+車位","臺中市南區工學路１２７號５樓","13.89","住","1080702","土地1建物1車位1","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","0830711","122.28","3","2","2","有","有","5100000","41708","坡道機械","0",84.37,11.84,0,0
"2","東區","房地(土地+建物)","臺中市東區立德東街６巷６號","58.0","住","1080726","土地1建物1車位0","全","二層","透天厝","住家用","0630207","88.49","3","2","2","有","無","2500000","28252","","0",88.49,0,0,0
"3","西區","房地(土地+建物)+車位","臺中市西區中興六巷１８號","17.05","住","1080718","土地1建物1車位1","一層","五層","華廈(10層含以下有電梯)","住家用","0810219","64.29","2","1","1","有","有","4500000","69995","升降機械","0",49.8,3.02,0,0
"4","東區","房地(土地+建物)","臺中市東區東光園路１７７巷１２號","86.7","住","1080725","土地4建物1車位0","全","五層","透天厝","住家用","0860106","185.3","5","3","4","有","有","9000000","48570","","0",142.61,8.58,0,0
"5","北區","房地(土地+建物)+車位","臺中市北區進化路３３０號１２樓之５","9.99","住","1080623","土地1建物1車位1","十二層","十二層","住宅大樓(11層含以上有電梯)","住家用","0811228","90.59","2","2","1","有","有","4000000","44155","升降機械","0",70.35,4.3,0,0
"6","北屯區","房地(土地+建物)+車位","臺中市北屯區安順東八街５號四樓之２","23.62","住","1080707","土地1建物1車位1","四層","七層","華廈(10層含以下有電梯)","住家用","0790601","144.84","3","2","2","有","有","5520000","38111","坡道機械","0",119.33,7.69,0,0
"7","北區","房地(土地+建物)","臺中市北區太原八街９７號６樓之３","6.55","住","1080722","土地1建物1車位0","六層","七層","套房(1房1廳1衛)","住家用","0830705","42.44","1","1","1","有","有","1280000","30160","","0",27.89,5.1,0,0
"8","北屯區","房地(土地+建物)+車位","臺中市北屯區遼寧路二段６６號九樓","20.73","住","1080709","土地1建物1車位1","九層","九層","華廈(10層含以下有電梯)","住家用","0830207","152.72","3","2","2","有","有","6900000","45181","坡道平面","0",92.87,16,0,0
"9","北區","房地(土地+建物)","臺中市北區文昌東一街８３巷８之１號","30.46","住","1080714","土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","0760625","96.48","3","2","2","有","無","5920000","61360","","0",84.37,12.11,0,0
"10","北屯區","房地(土地+建物)","臺中市北屯區柳陽東街94號及９０號地下室","20.18","住","1080716","土地1建物2車位0","一層","七層","華廈(10層含以下有電梯)","住家用","0801018","112.01","3","2","2","有","有","5500000","49103","","0",93.99,6.99,0,0
"11","北屯區","房地(土地+建物)","臺中市北屯區柳陽東街95號及９０號地下室","20.09","住","1080716","土地1建物2車位0","一層","七層","華廈(10層含以下有電梯)","住家用","0801018","112.36999999999999","3","2","2","有","有","5500000","48945","","0",92.06,12.43,0,0
"12","北屯區","房地(土地+建物)","臺中市北屯區太原路三段１１１巷１２號３樓","34.29","住","1080710","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0691016","106.05","3","2","2","有","無","4300000","40547","","0",87.69,18.36,0,0
"13","北區","房地(土地+建物)+車位","臺中市北區健行路４４３號７樓之２６","4.68","住","1080714","土地1建物1車位1","七層","十六層","套房(1房1廳1衛)","住家用","0840526","41.21","1","0","1","有","有","2000000","48532","坡道機械","0",18.06,1.48,0,0
