"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","深坑區","房地(土地+建物)+車位","新北市深坑區翠谷街４２號五樓","35.1","其他","1010722","土地1建物1車位1","五層","八層","華廈(10層含以下有電梯)","住家用","0831124","151.63","3","2","2","有","無","6100000","40231","坡道平面","0",94.01,1.81,10.58,0
"2","八里區","房地(土地+建物)","新北市八里區中山路二段４０６巷１７號六樓","19.49","住","1010708","土地1建物1車位0","六層","八層","華廈(10層含以下有電梯)","住家用","0980219","120.18","2","1","1","有","無","5350000","44517","","0",0,0,0,0
"3","蘆洲區","房地(土地+建物)","新北市蘆洲區長安街２２０巷３６號四樓","24.45","住","1010713","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0860926","98.32","3","1","2","有","無","9500000","96624","","0",70.47,0,9.72,0
"4","八里區","房地(土地+建物)","新北市八里區頂寮三街１０號十二樓","9.75","住","1010704","土地1建物1車位0","十二層","十六層","住宅大樓(11層含以上有電梯)","住家用","0840408","75.99","2","2","1","有","有","3710000","48820","","0",53.43,1.42,5.36,0
"5","淡水區","房地(土地+建物)","新北市淡水區北新路１６９巷５４號十六樓","6.37","住","1010712","土地2建物1車位0","十六層","十八層","住宅大樓(11層含以上有電梯)","住家用","0851228","42.98","1","1","1","有","有","1820000","42345","","0",29.31,0,3.92,0
"6","中和區","房地(土地+建物)","新北市中和區景平路２９０號十六樓","8.41","住","1010722","土地1建物1車位0","十六層","二十五層","住宅大樓(11層含以上有電梯)","住家用","0910816","105.64","3","2","2","有","有","10550000","99863","","0",71.74,0,8.9,0
"7","淡水區","房地(土地+建物)+車位","新北市淡水區民權路２１９之１號八樓","15.12","其他","1010709","土地1建物2車位1","八層","十四層","住宅大樓(11層含以上有電梯)","住家用","0961005","151.63","3","2","2","有","有","14550000","95957","坡道平面","0",77.91,0.6,15.36,0
"8","五股區","房地(土地+建物)+車位","新北市五股區西雲路１１８之３號九樓","19.06","住","1010711","土地1建物1車位1","九層","九層","華廈(10層含以下有電梯)","住家用","0931007","140.44","3","2","2","有","有","7500000","53402","坡道平面","0",72.95,1.36,9.69,0
"9","汐止區","房地(土地+建物)","新北市汐止區汐萬路二段６６巷１２８弄９號","44.0","","1010712","土地1建物1車位0","全","三層","透天厝","住家用","0710220","99.4","4","2","3","有","無","5150000","51811","","0",0,0,0,0
"10","蘆洲區","房地(土地+建物)","新北市蘆洲區集賢路222巷40號9樓","8.87","住","1010712","土地2建物1車位0","九層","十二層","住宅大樓(11層含以上有電梯)","住家用","0860120","57.11","1","1","1","有","有","5500000","96307","","0",35.62,0,5.16,0
"11","樹林區","房地(土地+建物)+車位","新北市樹林區保安街二段337巷37號6樓","17.28","住","1010628","土地1建物2車位1","六層","十一層","住宅大樓(11層含以上有電梯)","住家用","0830810","120.91","3","1","1","有","有","5800000","47969","坡道平面","0",63.2,1.08,7.71,0
"12","五股區","房地(土地+建物)","新北市五股區民義路一段１５７號之１５五樓","34.2","住","1010705","土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","0730821","101.6","3","2","2","有","無","3800000","37402","","0",0,0,0,0
"13","新莊區","房地(土地+建物)","新北市新莊區裕民街１０３巷１８弄１５號","19.23","住","1010709","土地2建物1車位0","一層，平台","三層","公寓(5樓含以下無電梯)","住家用","0660827","59.4","2","1","1","有","無","4300000","72391","","0",59.4,0,0,0
"14","新莊區","房地(土地+建物)","新北市新莊區萬安街１５４之１號","21.5","住","1010706","土地1建物1車位0","二層，陽台","五層","公寓(5樓含以下無電梯)","住家用","0700112","79.99","3","2","1","有","無","3700000","46256","","0",79.99,0,0,0
"15","三重區","房地(土地+建物)","新北市三重區溪尾街３２８之１３號四樓","13.08","住","1010717","土地1建物1車位0","四層","十六層","住宅大樓(11層含以上有電梯)","住家用","0811012","71.88","2","2","1","有","有","7100000","98781","","0",0,0,0,0
"16","三重區","房地(土地+建物)","新北市三重區溪尾街１２３巷３號十一樓","4.96","住","1010716","土地1建物1車位0","十一層","十四層","住宅大樓(11層含以上有電梯)","住家用","0870717","66.39999999999999","2","2","1","有","有","6750000","101650","","0",50.11,0,1.8,0
"17","土城區","房地(土地+建物)","新北市土城區學成路78巷14號二樓","31.09","住","1010715","土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","0760110","103.18","3","2","1","有","無","9500000","92072","","0",95.7,0,7.48,0
"18","林口區","房地(土地+建物)+車位","新北市林口區文化三路二段41巷39號十二樓","20.29","住","1010720","土地1建物1車位1","十二層","十三層","住宅大樓(11層含以上有電梯)","住家用","0960719","146.21","3","2","2","有","有","8130000","55605","坡道平面","0",67.82,3.36,7.97,0
"19","新店區","房地(土地+建物)+車位","新北市新店區中興路三段２３１號２１樓之５","5.59","住","1010628","土地1建物1車位1","二十一層","二十四層","住宅大樓(11層含以上有電梯)","住家用","0851116","96.35","3","2","2","有","有","13450000","139589","坡道機械","0",56.64,2.56,6.01,0
"20","汐止區","房地(土地+建物)+車位","新北市汐止區忠三街12巷44號3樓","111.24","其他","1010715","土地1建物2車位2","三層，四層，電梯樓梯間，夾層","四層","公寓(5樓含以下無電梯)","住家用","0790915","325.02","4","2","3","有","有","20150000","61997","坡道平面","0",0,0,0,0
"21","三重區","房地(土地+建物)","新北市三重區仁政街１２６號１２樓之７","6.82","商","1010713","土地3建物1車位0","十二層","十四層","住宅大樓(11層含以上有電梯)","住家用","0930621","97.5","3","2","2","有","有","10500000","107693","","0",67.23,0,11.59,0
