"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","土城區","房地(土地+建物)","新北市土城區廣興街16巷4號3樓","27.43","住","1040614","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0740805","101.28","3","2","1","有","無","9000000","88863","","0",91.33,0,9.95,0
"2","板橋區","房地(土地+建物)+車位","新北市板橋區金門街３１巷４０號","21.79","住","1040701","土地1建物1車位1","一層","十三層","住宅大樓(11層含以上有電梯)","住家用","0871120","138.61","3","2","2","有","有","10000000","72145","坡道平面","0",70.05,1.03,11.07,0
"3","板橋區","房地(土地+建物)","新北市板橋區文化路一段188巷11弄62號","33.0","住","1040531","土地1建物1車位0","一層，騎樓","四層","公寓(5樓含以下無電梯)","住家用","","79.74","2","2","1","有","無","13500000","169300","","0",79.74,0,0,0
"4","板橋區","房地(土地+建物)","新北市板橋區大觀路二段７巷３３號四樓","23.61","住","1040716","土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","","50.82","2","1","1","有","無","3700000","72806","","0",50.82,0,0,0
"5","板橋區","房地(土地+建物)","新北市板橋區金華街10巷48弄29之3號","31.0","住","1040606","土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","0650612","67.25","3","2","1","有","無","7950000","118216","","0",67.25,0,0,0
"6","板橋區","房地(土地+建物)+車位","新北市板橋區中正路３１８號四樓之１","18.8","住","1040629","土地1建物1車位1","四層","十二層","住宅大樓(11層含以上有電梯)","住家用","1000401","170.41","3","2","2","有","有","22000000","129100","坡道平面","0",82.8,3.41,10.25,0
"7","土城區","房地(土地+建物)","新北市土城區順風路４號三樓","43.9","住","1040622","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","0810228","107.31","3","2","1","有","無","6000000","55913","","0",89.28,0.36,9.34,0
"8","板橋區","房地(土地+建物)","新北市板橋區文化路一段360號20樓之1","2.01","住","1040629","土地1建物1車位0","二十層","四十層","套房(1房1廳1衛)","住家用","0990715","40.86","1","1","1","有","有","8750000","214146","","0",22.04,0,4.78,0
"9","板橋區","房地(土地+建物)","新北市板橋區幸福路３２巷２弄２５之１號","18.25","住","1040622","土地1建物1車位0","二層","四層","公寓(5樓含以下無電梯)","住家用","0640915","59.0","3","2","2","有","無","7800000","132203","","0",51.74,0,7.26,0
"10","板橋區","房地(土地+建物)+車位","新北市板橋區金門街２９７巷１２號六樓","19.37","住","1040714","土地1建物1車位1","六層","六層","華廈(10層含以下有電梯)","住家用","0831123","141.39","4","3","2","有","有","13500000","95481","坡道平面","0",73.68,1.23,10.33,0
"11","板橋區","房地(土地+建物)","新北市板橋區信義路７４巷１弄７之１號","28.5","住","1040625","土地1建物1車位0","二層","四層","公寓(5樓含以下無電梯)","住家用","0640501","79.96","4","0","4","有","無","8300000","103802","","0",66.53,0,13.43,0
"12","板橋區","房地(土地+建物)+車位","新北市板橋區雙十路一段１２號十二樓","13.67","住","1040710","土地1建物1車位1","十二層","十三層","住宅大樓(11層含以上有電梯)","住家用","0980827","117.64999999999999","2","2","1","有","有","18000000","152996","坡道機械","0",58.1,4.72,8,0
"13","土城區","房地(土地+建物)","新北市土城區金城路三段２０７巷６弄２之１號四樓","14.71","住","1040626","土地1建物1車位0","四層","六層","華廈(10層含以下有電梯)","住家用","0820821","72.78","2","2","1","有","有","7350000","100989","","0",48.53,0,7.59,0
"14","板橋區","房地(土地+建物)+車位","新北市板橋區文化路二段１１１之７號三樓","21.12","住","1040728","土地1建物1車位2","三層","二十四層","住宅大樓(11層含以上有電梯)","住家用","1040206","282.96000000000004","4","2","2","有","有","46600000","178725","坡道平面","5100000",138.85,0,18.27,0
"15","土城區","房地(土地+建物)","新北市土城區學府路一段７５巷１６弄１４號四樓","28.22","住","1040710","土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","0740926","106.99000000000001","3","2","2","有","無","9300000","86924","","0",86.13,1.86,8.99,0
"16","板橋區","房地(土地+建物)","新北市板橋區仁化街１５０之２號","10.75","住","1040719","土地1建物1車位0","一層","四層","店面(店鋪)","住家用","","33.79","0","0","0","無","無","8000000","236756","","0",28.17,5.62,0,0
"17","板橋區","房地(土地+建物)","新北市板橋區仁化街１５０之２號三樓","10.75","住","1040719","土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","","33.79","2","1","1","有","無","6000000","177567","","0",28.17,0,5.62,0
"18","板橋區","房地(土地+建物)","新北市板橋區仁化街１５０之２號二樓","10.75","住","1040719","土地1建物1車位0","二層","四層","公寓(5樓含以下無電梯)","住家用","","33.79","2","1","1","有","無","6000000","177567","","0",28.17,0,5.62,0
"19","新莊區","房地(土地+建物)","新北市新莊區豐年街１１０巷２號","29.53","住","1040629","土地1建物1車位0","二層","二層","公寓(5樓含以下無電梯)","住家用","0570410","35.58","3","2","1","有","無","2500000","70264","","0",35.59,0,0,0
"20","林口區","房地(土地+建物)","新北市林口區文化二路一段２０巷２５弄２１號三樓","8.79","住","1040629","土地1建物1車位0","三層","十層","華廈(10層含以下有電梯)","住家用","0840419","42.779999999999994","2","1","1","有","有","3800000","88827","","0",31.29,0,4.19,0
"21","新莊區","房地(土地+建物)","新北市新莊區昌隆街28之3號","18.47","住","1040621","土地1建物1車位0","四層，陽台","五層","公寓(5樓含以下無電梯)","住家用","0670811","76.44","1","1","1","有","無","6350000","83072","","0",76.44,0,0,0
"22","新莊區","房地(土地+建物)","新北市新莊區中誠街１４６之３號","20.4","住","1040701","土地1建物1車位0","四層，陽台","四層","公寓(5樓含以下無電梯)","住家用","0661101","69.78","2","2","1","有","無","5700000","81685","","0",69.78,0,0,0
"23","林口區","房地(土地+建物)+車位","新北市林口區文化二路二段１１０巷１１號三樓","22.06","住","1040527","土地1建物1車位1","三層","十二層","住宅大樓(11層含以上有電梯)","住家用","0950705","158.89999999999998","3","2","2","有","有","12800000","80554","坡道平面","0",82.65,1.93,10.91,0
"24","新莊區","房地(土地+建物)","新北市新莊區天祥街１５巷２９號四樓","41.22","住","1040716","土地1建物1車位0","四層，陽台","四層","公寓(5樓含以下無電梯)","住家用","0690205","72.62","2","2","1","有","無","5600000","77114","","0",72.62,0,0,0
"25","新莊區","房地(土地+建物)","新北市新莊區萬安街１號十二樓之十四","5.26","住","1040727","土地1建物1車位0","十二層","十四層","套房(1房1廳1衛)","住家用","0970418","44.489999999999995","1","1","1","有","有","5300000","119128","","0",27.95,0,0,0
"26","泰山區","房地(土地+建物)+車位","新北市泰山區仁愛路１３２號九樓","16.17","商","1040620","土地1建物1車位2","九層","十三層","住宅大樓(11層含以上有電梯)","住家用","0950519","205.60000000000002","3","2","1","有","有","18700000","90953","坡道平面","0",89.99,2.91,8.47,0
