"","鄉鎮市區","交易標的","土地位置建物門牌","土地移轉總面積平方公尺","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位總價元","主建物面積","附屬建物面積","陽台面積","電梯"
"1","西區","房地(土地+建物)","台中市西區篤行路１６２巷３７號３樓之１","20.0","住","1020107","土地1建物1車位0","三層","五層","華廈(10層含以下有電梯)","住家用","0820622","88.4","4","0","0","有","無","3400000","38462","","0",51.52,0,11.71,0
"2","西區","房地(土地+建物)+車位","台中市西區五權西四街27號15樓之1","10.76","住","1011228","土地3建物1車位1","十五層","二十九層","住宅大樓(11層含以上有電梯)","住家用","0890803","212.13","2","2","2","有","有","15750000","74247","坡道平面","0",118.39,2.79,23.64,0
"3","南區","房地(土地+建物)","台中市南區復興北路５１７號十一樓","10.96","住","1011228","土地2建物1車位0","十一層","十二層","住宅大樓(11層含以上有電梯)","住家用","0821125","81.06","3","1","1","有","有","2850000","35159","","0",62.55,0,7.11,0
"4","南區","房地(土地+建物)+車位","台中市南區高工路２４５號９樓之１","10.74","住","1011214","土地1建物2車位1","九層","十二層","住宅大樓(11層含以上有電梯)","住家用","0830630","63.06","2","2","1","有","有","3000000","47574","坡道機械","0",55.26,0,7.23,0
"5","西區","房地(土地+建物)","台中市西區向上南路１段１２０－１號１１樓","23.44","住","1020108","土地1建物1車位0","十一層","十二層","住宅大樓(11層含以上有電梯)","住家用","0890605","124.18","4","1","2","有","無","9800000","78918","","0",106.02,4.3,13.86,0
"6","南區","房地(土地+建物)","台中市南區崇倫街183巷56號","83.0","住","1020106","土地1建物1車位0","全","二層","透天厝","住家用","0670524","107.87","6","3","3","有","無","6800000","63039","","0",107.87,0,0,0
"7","東區","房地(土地+建物)","台中市東區立德街６號","44.5","住","1020110","土地2建物1車位0","全","二層","透天厝","住家用","","69.88","4","2","2","有","無","2500000","35776","","0",69.87,0,0,0
"8","西區","房地(土地+建物)","台中市西區向上路一段１５號１１樓之６","3.64","住","1020121","土地2建物1車位0","十一層","十三層","套房(1房1廳1衛)","住家用","0830924","35.68","1","1","1","有","有","780000","21861","","0",23.67,0.48,2.73,0
"9","南區","房地(土地+建物)","台中市南區懷寧街１８７號８樓之１","11.99","住","1020114","土地1建物1車位0","八層","十三層","住宅大樓(11層含以上有電梯)","住家用","0840220","105.93","3","2","2","有","有","3000000","28321","","0",66.09,0,11.88,0
"10","北屯區","房地(土地+建物)+車位","台中市北屯區瀋陽路二段１７５號十一樓之２７","11.04","住","1020110","土地1建物1車位2","十一層","十四層","住宅大樓(11層含以上有電梯)","住家用","0961231","123.62","2","1","1","有","無","7600000","61479","坡道平面","0",52.74,0.85,7.78,0
"11","北屯區","房地(土地+建物)","台中市北屯區昌平路二段46巷1號","46.0","住","1011017","土地1建物1車位0","全","二層","透天厝","住家用","0610531","57.0","4","2","2","有","無","2800000","49123","","0",57,0,0,0
"12","北屯區","房地(土地+建物)+車位","台中市北屯區松強里山西路三段２９８號７樓之２","31.37","住","1011218","土地1建物1車位1","七層","十二層","住宅大樓(11層含以上有電梯)","住家用","1011029","237.92000000000002","4","2","2","有","有","10700000","44973","坡道平面","900000",121.77,6.62,18.07,0
"13","北屯區","房地(土地+建物)+車位","台中市北屯區青島路三段19號3樓","22.73","住","1011217","土地1建物1車位1","三層","八層","華廈(10層含以下有電梯)","住家用","0820715","136.48000000000002","3","2","2","有","有","4720000","34584","坡道機械","0",92.42,0,13.37,0
"14","北屯區","房地(土地+建物)+車位","台中市北屯區中清路新平巷３２弄１３號八樓","23.91","住","1020110","土地1建物1車位1","八層","八層","華廈(10層含以下有電梯)","住家用","0830630","158.35","3","1","2","有","有","5320000","33596","坡道平面","0",96.39,0.37,8.84,0
"15","北屯區","房地(土地+建物)+車位","台中市北屯區北屯路２１０號４樓之８","14.66","住","1020105","土地1建物3車位1","四層","十三層","住宅大樓(11層含以上有電梯)","住家用","0830208","161.98000000000002","4","2","2","有","有","5900000","36426","坡道平面","0",94.67,0,13.94,0
"16","北屯區","房地(土地+建物)","台中市北屯區三光一街１號１１樓之３","9.71","住","1020111","土地1建物1車位0","十一層","十四層","住宅大樓(11層含以上有電梯)","住家用","0850610","94.92","3","1","2","有","有","3100000","32659","","0",58.81,1.07,7.92,0
"17","北區","房地(土地+建物)","台中市北區三民路三段２０１巷１８號","71.0","住","1011227","土地1建物1車位0","全","二層","透天厝","住家用","0550606","118.76","0","2","2","有","無","17090000","143904","","0",118.76,0,0,0
"18","北屯區","房地(土地+建物)+車位","台中市北屯區軍和街４５５巷９弄２號２樓","12.76","住","1020118","土地2建物1車位1","二層","十三層","住宅大樓(11層含以上有電梯)","住家用","0811101","91.36","2","1","1","有","有","2500000","27364","坡道機械","0",55.65,2.07,7.44,0
"19","北區","房地(土地+建物)","台中市北區崇德路一段１２７號６樓","25.62","住","1011215","土地2建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","0710901","129.77","6","0","6","有","有","5600000","43153","","0",109.6,0,8.44,0
"20","北屯區","房地(土地+建物)+車位","台中市北屯區崇德十一路５９號１１樓","19.79","商","1011229","土地1建物1車位1","十一層","十三層","住宅大樓(11層含以上有電梯)","住家用","0950516","132.18","2","2","1","有","有","6400000","48419","坡道平面","0",67.62,7.59,2.45,0
"21","北區","房地(土地+建物)+車位","台中市北區綏遠路一段１之７號５樓","16.05","商","1020116","土地1建物1車位1","五層","八層","華廈(10層含以下有電梯)","住家用","0851029","114.35000000000001","3","2","2","有","有","5330000","46611","坡道機械","0",70.77,2.01,9.7,0
"22","北屯區","房地(土地+建物)+車位","台中市北屯區文心路四段９９５號５樓之１","10.64","住","1020116","土地1建物1車位1","五層，六層","二十四層","其他","住家用","0910807","152.32","3","2","3","有","有","6240000","40966","坡道機械","0",82.31,2.62,18.12,0
"23","北區","房地(土地+建物)+車位","台中市北區文心路四段１９０號１３樓之３","7.83","其他","1011130","土地1建物1車位1","十三層","十四層","套房(1房1廳1衛)","住家用","0951225","86.95","1","1","1","有","有","4150000","47729","坡道機械","0",39.47,0,7.12,0
"24","北屯區","房地(土地+建物)","台中市北屯區四平路４１７巷３２之１號","26.07","住","1011222","土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","0711129","75.56","3","2","1","有","無","2000000","26469","","0",69.55,0,6.01,0
"25","北區","房地(土地+建物)","台中市北區東光路398之6號3樓","9.39","住","1020115","土地1建物1車位0","三層","十二層","住宅大樓(11層含以上有電梯)","住家用","0871019","83.55","3","2","2","有","有","2400000","28725","","0",52.47,0,8.43,0
"26","北屯區","房地(土地+建物)","台中市北屯區平興街１１９號三樓","15.1","住","1020110","土地1建物1車位0","三層","八層","華廈(10層含以下有電梯)","住家用","0820505","89.92","3","2","2","有","無","2000000","22242","","0",73.4,0,6.97,0
"27","北屯區","房地(土地+建物)+車位","台中市北屯區松竹路二段７０３號１０樓","17.19","住","1020105","土地1建物1車位0","十層","十四層","住宅大樓(11層含以上有電梯)","住家用","0880419","151.56","3","2","2","有","有","6300000","41568","升降機械","0",88.57,0,11.09,0
"28","北屯區","房地(土地+建物)","台中市北屯區東光路８９２巷２號７樓之１０","9.82","其他","1020121","土地1建物1車位0","七層","十二層","住宅大樓(11層含以上有電梯)","住家用","0830815","112.11000000000001","3","2","2","有","有","3550000","31665","","0",79.65,0,3.36,0
"29","西屯區","房地(土地+建物)","台中市西屯區西安街４７巷１４之３號","30.12","住","1020103","土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","0680712","69.76","3","2","2","有","無","2900000","41571","","0",69.76,0,0,0
"30","西屯區","房地(土地+建物)+車位","台中市西屯區福雅路１４３號九樓之２","13.79","住","1011224","土地1建物1車位1","九層","十二層","住宅大樓(11層含以上有電梯)","住家用","0830118","147.23","3","2","2","有","有","4880000","33145","升降平面","0",92.86,2.15,14.62,0
"31","南屯區","房地(土地+建物)+車位","台中市南屯區大正街８號八樓","34.46","住","1020104","土地1建物1車位3","八層","十五層","住宅大樓(11層含以上有電梯)","住家用","0980506","331.08000000000004","4","2","2","有","有","23980000","72430","坡道平面","0",146.76,9.41,15.35,0
"32","南屯區","房地(土地+建物)+車位","台中市南屯區文心南三路５３９號二樓之１","39.09","商","1020118","土地1建物1車位2","二層","十四層","住宅大樓(11層含以上有電梯)","住家用","0941230","282.38","3","2","2","有","有","17000000","60203","坡道平面","0",149.06,4.3,12.61,0
"33","南屯區","房地(土地+建物)+車位","台中市南屯區文山三街１３１號十樓之３","15.86","住","1011223","土地2建物1車位1","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","1010224","112.35","2","1","1","有","有","5960000","53049","坡道平面","0",51.55,1.39,6.6,0
"34","西屯區","房地(土地+建物)","台中市西屯區長安路二段２１０巷２８號","65.0","住","1020111","土地1建物1車位0","全","二層","透天厝","住家用","0620309","77.8","4","2","2","有","無","8600000","110540","","0",77.8,0,0,0
"35","南屯區","房地(土地+建物)","台中市南屯區大同街１９巷１號","88.0","住","1020111","土地1建物1車位0","全","二層","透天厝","住家用","0750728","140.84","16","0","15","有","無","18500000","131355","","0",122.6,12.04,6.2,0
"36","南屯區","房地(土地+建物)+車位","台中市南屯區文山里忠勇路５２之２３１號二樓","10.96","住","1010123","土地1建物1車位1","二層","十四層","住宅大樓(11層含以上有電梯)","住家用","1010926","123.87","2","1","1","有","有","5600000","45209","坡道平面","0",58.64,0,11.54,0
"37","南屯區","房地(土地+建物)","台中市南屯區文山里忠勇路５２之２３７號八樓","9.67","住","1020123","土地1建物1車位0","八層","十四層","住宅大樓(11層含以上有電梯)","住家用","1010926","94.31","2","1","1","有","有","4430000","46973","","0",53.49,1.03,9.56,0
"38","南屯區","房地(土地+建物)","台中市南屯區文山里忠勇路５２之２３６號八樓","9.67","住","1010116","土地1建物1車位0","八層","十四層","住宅大樓(11層含以上有電梯)","住家用","1010926","94.78","2","1","1","有","有","4510000","47584","","0",53.69,1.03,9.7,0
"39","西屯區","房地(土地+建物)","台中市西屯區烈美街１４０之２號","27.35","住","1011228","土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","0740107","97.32","5","0","5","有","無","6500000","66790","","0",91.29,0,6.03,0
"40","西屯區","房地(土地+建物)+車位","台中市西屯區河南東二街３號３樓","38.4","住","1011207","土地2建物1車位1","三層，四層","六層","華廈(10層含以下有電梯)","住家用","0790317","206.75","5","2","3","有","有","5450000","26360","升降平面","0",116.08,0,24.93,0
"41","西屯區","房地(土地+建物)","台中市西屯區大有街100巷10弄4號","97.0","住","1020115","土地1建物1車位0","全","二層","透天厝","住家用","0760519","125.96","4","2","3","有","有","10000000","79390","","0",115.29,8.43,2.24,0
"42","西屯區","房地(土地+建物)+車位","台中市西屯區大墩十七街１１０號十樓之６","9.23","住","1020112","土地2建物1車位1","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","0961122","102.66","1","1","1","有","有","6300000","61368","坡道平面","0",46.03,0.58,7.12,0
"43","南屯區","房地(土地+建物)+車位","台中市南屯區大業路３０５號三樓","19.59","住","1020106","土地1建物1車位1","三層","十二層","住宅大樓(11層含以上有電梯)","住家用","0830111","196.42000000000002","4","2","2","有","有","8350000","42511","坡道平面","0",107.06,1.84,13.8,0
"44","西屯區","房地(土地+建物)+車位","台中市西屯區國安一路１２９號十七樓之２","7.11","住","1011208","土地1建物1車位1","十七層","二十四層","住宅大樓(11層含以上有電梯)","住家用","0991119","93.06","2","1","1","有","有","6080000","65334","坡道平面","0",43.28,1.66,3.83,0
"45","南屯區","房地(土地+建物)+車位","台中市南屯區文心南七路１２８號六樓之１","24.47","住","1011229","土地1建物1車位1","六層","十四層","住宅大樓(11層含以上有電梯)","住家用","0980710","241.54","4","2","2","有","有","15000000","62102","坡道平面","0",126.74,7.94,12.7,0
"46","神岡區","房地(土地+建物)","台中市神岡區大漢街３０巷２５號三樓","18.42","住","1020118","土地1建物1車位0","三層","八層","華廈(10層含以下有電梯)","住家用","0831111","105.26","3","2","2","有","有","2780000","26411","","0",67.92,4.24,12.21,0
"47","豐原區","房地(土地+建物)","台中市豐原區南陽路綠山巷１２０弄２５號","72.64","住","1020114","土地1建物1車位0","全","二層","透天厝","住家用","0641217","84.48","4","2","2","有","無","2800000","33144","","0",84.48,0,0,0
"48","豐原區","房地(土地+建物)","台中市豐原區中正路６９５巷１７號七樓","10.04","住","1011222","土地1建物1車位0","七層","十六層","住宅大樓(11層含以上有電梯)","住家用","0820208","101.83","3","2","2","有","有","1000000","9820","","0",68.78,0,11.92,0
